Age,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Date,Position,Valuation
23.0,23,12,1237,13.7,0.22,1.61,0.8,50.0,0.14,0.27,16.6,0.0,0.0,0.0,20.7,28.1,73.8,308.2,89.1,11.2,13.6,82.4,8.1,10.1,80.4,0.66,1.82,36.0,0.07,0.73,1.97,0.95,0.22,2.7,28.1,27.2,0.88,0.07,0.0,0.51,0.95,0.29,0.22,0.07,0.0,0.29,20.7,0.15,1.31,2.77,1.39,0.0,0.51,0.15,0.22,0.51,0.22,0.07,0.0,0.0,0.0,0.0,0.15,2.99,1.97,1.02,1.46,0.51,0.58,1.39,42.1,0.8,1.97,0.0,1.97,1.31,4.31,0.29,0.0,44.1,0.8,6.5,21.9,20.8,3.14,43.2,33.1,194.1,114.3,5.55,2.48,1.09,1.53,3.87,28.1,4.23,0.15,0.07,0.0,2.85,1.9,0.0,0.95,1.97,0.0,0.0,0.0,7.23,1.17,1.46,44.4,2021-12-28,Attacking Midfield,3300000.0
20.0,7,0,54,0.6,0.0,3.33,1.67,50.0,0.0,0.0,13.5,0.0,0.0,0.0,33.3,36.7,90.9,453.3,135.0,21.7,21.7,100.0,8.33,10.0,83.3,1.67,3.33,50.0,0.0,1.67,1.67,5.0,0.0,6.67,36.7,36.7,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1.67,1.67,1.67,0.0,0.0,1.67,0.0,1.67,3.33,0.0,3.33,0.0,3.33,0.0,0.0,61.7,0.0,6.67,23.3,36.7,8.33,61.7,48.3,245.0,120.0,8.33,5.0,0.0,5.0,0.0,46.7,10.0,1.67,0.0,0.0,5.0,1.67,1.67,0.0,1.67,0.0,0.0,0.0,6.67,1.67,3.33,33.3,2022-05-30,Attacking Midfield,1000000.0
32.0,17,11,1132,12.6,0.08,0.32,0.08,25.0,0.25,1.0,16.7,0.0,0.0,0.0,27.4,43.7,62.6,438.9,188.3,15.9,18.7,85.1,9.05,13.7,66.3,1.9,8.41,22.6,0.16,0.95,1.67,0.87,0.4,2.54,43.7,35.7,8.02,1.19,0.0,2.62,2.46,2.94,1.98,0.56,0.08,3.81,27.4,0.4,3.02,1.51,1.11,0.24,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.62,1.27,1.35,0.71,0.56,0.79,3.25,24.4,2.46,2.14,0.4,1.75,1.98,4.6,0.79,0.0,54.6,2.78,12.5,25.1,19.9,0.95,46.7,32.6,137.5,64.3,2.54,0.95,0.16,1.11,0.95,31.9,2.46,0.24,0.0,0.0,0.63,1.19,0.16,2.46,1.27,0.0,0.0,0.0,6.11,0.48,0.87,35.3,2021-12-23,Attacking Midfield,2500000.0
26.0,11,1,338,3.8,0.0,0.79,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,30.0,40.0,75.0,492.9,134.5,13.4,17.6,76.1,11.6,13.7,84.6,2.89,4.74,61.1,0.0,1.84,2.63,1.05,0.26,3.16,40.0,36.8,3.16,0.53,0.26,0.26,1.05,0.26,0.0,0.0,0.0,1.05,30.0,0.79,1.32,2.63,2.37,0.26,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,3.95,2.63,1.58,1.58,0.79,1.32,3.16,41.7,1.84,2.37,0.53,1.84,2.63,6.58,1.84,0.0,61.1,3.95,12.4,32.6,20.0,4.47,58.2,37.4,173.4,92.6,3.42,1.58,0.26,2.89,3.68,35.5,5.79,0.79,0.0,0.0,2.89,1.84,0.53,1.05,2.63,0.0,0.0,0.0,10.3,2.11,2.89,42.1,2022-03-29,Attacking Midfield,22000000.0
26.0,10,8,657,7.3,0.14,0.55,0.27,50.0,0.0,0.0,18.2,0.0,0.14,0.14,22.9,29.3,78.0,368.1,89.2,12.9,14.8,87.0,7.67,9.45,81.2,1.92,3.7,51.9,0.0,0.27,1.78,0.68,0.0,2.6,29.3,27.7,1.64,0.82,0.0,0.27,0.41,0.0,0.0,0.0,0.0,0.41,22.9,0.14,0.96,1.1,0.68,0.0,0.0,0.0,0.41,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,2.6,0.96,1.51,0.82,0.27,0.68,2.33,29.4,1.64,3.42,0.68,2.74,2.33,4.93,1.64,0.0,45.3,3.15,11.9,23.6,13.3,2.74,44.0,29.2,124.4,61.1,2.33,0.82,0.0,1.64,2.47,27.3,4.25,0.14,0.0,0.0,1.78,2.05,0.27,0.41,0.96,0.14,0.0,0.0,6.3,1.51,1.78,45.8,2022-03-29,Attacking Midfield,22000000.0
19.0,35,11,1081,12.0,0.0,1.83,0.83,45.5,0.0,0.0,21.5,0.0,0.0,0.0,40.0,52.6,76.1,749.0,190.4,19.8,23.1,85.6,11.6,14.3,80.8,6.58,11.3,58.5,0.33,1.58,3.5,0.75,0.33,3.33,52.6,47.4,5.17,1.58,0.08,3.92,2.0,3.0,1.0,1.25,0.08,0.25,40.0,0.25,1.33,2.92,1.67,0.58,0.17,0.0,0.5,0.0,0.5,0.33,0.08,0.0,0.0,0.08,0.0,1.75,1.08,0.5,0.83,0.42,0.5,2.42,20.7,1.92,1.75,0.08,1.67,1.75,3.5,0.67,0.0,67.3,0.58,9.67,39.1,24.8,2.17,62.3,47.6,270.1,163.4,8.17,2.75,0.5,2.42,2.0,46.6,4.92,0.17,0.0,0.0,1.08,1.33,0.17,2.0,1.08,0.0,0.0,0.0,8.0,1.17,2.0,36.8,2022-05-30,Attacking Midfield,6000000.0
27.0,32,25,2100,23.3,0.3,2.45,0.69,28.1,0.07,0.25,23.9,0.73,0.13,0.17,22.7,34.5,65.8,410.1,144.6,10.6,12.9,81.7,8.45,11.3,74.9,3.18,8.28,38.3,0.21,1.59,1.55,1.42,0.64,2.75,34.5,27.1,7.38,1.63,0.09,1.8,2.58,2.92,1.42,1.24,0.04,0.94,22.7,0.26,1.55,3.05,1.33,0.82,0.17,0.09,0.6,0.04,0.43,0.3,0.04,0.0,0.0,0.09,0.0,0.9,0.47,0.13,0.52,0.26,0.26,1.2,21.4,0.94,1.24,0.13,1.12,0.6,1.5,0.9,0.0,46.4,1.2,5.28,21.0,22.7,1.8,39.1,29.0,139.1,69.4,3.86,1.03,0.3,1.29,1.2,29.1,3.61,0.26,0.0,0.0,1.33,3.78,0.3,2.58,0.47,0.04,0.04,0.0,5.19,0.69,1.72,28.6,2022-03-15,Attacking Midfield,4000000.0
22.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,68.0,10.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,3.0,0.0,5.0,5.0,71.0,49.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-21,Attacking Midfield,1500000.0
23.0,35,23,2054,22.8,0.26,2.24,0.79,35.3,0.06,0.17,20.2,0.35,0.13,0.13,27.5,38.8,71.0,472.9,152.8,14.6,16.8,87.4,9.08,12.0,75.8,3.25,7.72,42.0,0.22,2.41,1.8,2.06,0.44,3.95,38.8,31.9,6.84,1.45,0.04,2.02,2.89,4.17,1.32,1.97,0.48,0.39,27.5,0.22,1.67,4.3,2.81,0.88,0.31,0.18,0.04,0.09,0.26,0.22,0.0,0.0,0.04,0.0,0.0,1.54,1.23,0.48,0.75,0.31,0.18,0.57,30.8,0.39,0.7,0.04,0.66,0.35,1.89,0.44,0.0,49.7,0.61,4.65,20.0,29.3,4.47,42.5,35.0,214.2,120.9,6.05,2.02,1.1,2.06,1.54,33.4,6.84,0.13,0.0,0.0,0.83,0.79,0.31,2.89,1.23,0.0,0.0,0.0,5.26,0.09,1.01,8.0,2021-12-28,Attacking Midfield,10000000.0
21.0,25,19,1822,20.2,0.0,0.45,0.1,22.2,0.0,0.0,20.4,0.0,0.0,0.0,50.0,60.5,82.7,825.4,312.0,25.2,27.7,90.9,19.8,22.9,86.2,4.01,7.33,54.7,0.2,0.54,3.17,1.04,0.54,3.71,60.5,51.6,8.91,0.74,0.0,1.04,1.88,0.0,0.0,0.0,0.0,8.17,50.0,0.05,1.34,1.53,1.39,0.0,0.05,0.0,0.1,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,2.08,1.24,1.09,0.74,0.25,1.04,1.83,56.8,0.79,1.88,0.1,1.78,2.57,4.65,2.18,0.05,72.5,3.66,22.6,37.8,16.7,1.39,63.8,45.7,202.2,111.0,4.21,1.49,0.3,1.19,1.04,45.5,2.13,0.3,0.0,0.0,0.79,1.14,0.0,1.88,1.24,0.0,0.05,0.0,7.87,0.94,0.79,54.3,2022-03-24,Attacking Midfield,14000000.0
