Age,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Date,Position,Valuation
22.0,34,32,2881,32.0,0.0,0.41,0.06,15.4,0.0,0.0,20.5,0.0,0.0,0.0,34.0,45.0,75.5,574.1,214.8,17.5,19.4,90.0,13.1,17.0,77.0,3.06,6.78,45.2,0.06,0.59,1.56,1.13,0.25,2.94,45.0,34.4,10.6,0.84,0.06,0.59,1.41,0.0,0.0,0.0,0.0,9.72,34.0,0.22,1.75,1.19,0.84,0.06,0.09,0.13,0.06,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.16,1.16,1.56,0.59,0.0,1.16,1.81,63.8,0.66,2.69,0.69,2.0,1.75,3.91,2.19,0.0,58.0,5.06,23.3,23.8,15.0,0.91,47.8,33.9,199.4,121.7,5.44,1.66,0.41,0.84,0.94,32.4,1.28,0.25,0.0,0.0,0.97,1.84,0.03,1.41,1.16,0.0,0.06,0.03,5.53,0.47,1.59,22.7,2021-12-23,Back,22000000.0
29.0,28,22,2140,23.8,0.0,0.42,0.08,20.0,0.0,0.0,22.2,0.0,0.0,0.0,60.4,72.1,83.8,1057.5,415.0,28.5,30.9,92.3,26.7,30.7,87.0,4.71,8.57,54.9,0.08,0.5,5.46,1.43,0.25,6.43,72.1,60.4,11.7,1.51,0.13,1.43,2.18,0.04,0.0,0.04,0.0,10.1,60.4,0.25,1.64,1.09,0.88,0.04,0.04,0.0,0.08,0.04,0.13,0.13,0.0,0.0,0.0,0.0,0.0,3.82,2.14,2.02,1.39,0.42,1.89,3.07,61.6,1.18,1.64,0.29,1.34,2.48,6.3,2.94,0.04,84.3,3.74,22.9,44.6,21.5,1.3,73.1,48.8,232.9,141.9,6.34,1.81,0.17,0.63,0.38,50.5,2.14,0.17,0.0,0.0,1.34,1.26,0.04,2.18,2.14,0.0,0.0,0.04,9.92,1.64,1.68,49.4,2022-05-30,Back,10000000.0
25.0,21,17,1437,16.0,0.0,0.63,0.25,40.0,0.0,0.0,22.1,0.0,0.0,0.0,34.1,47.3,72.1,603.5,266.3,16.1,18.6,86.6,13.6,17.5,77.5,3.88,8.44,45.9,0.0,1.06,2.63,1.31,0.31,4.19,47.3,37.9,9.44,0.56,0.13,0.56,1.88,0.0,0.0,0.0,0.0,8.88,34.1,0.25,2.5,2.19,1.88,0.13,0.13,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.94,0.94,0.81,0.25,1.06,1.56,68.0,0.5,1.56,0.19,1.38,2.06,4.06,2.06,0.0,61.0,3.19,15.5,29.4,20.4,2.06,52.0,33.8,190.8,114.6,5.38,1.88,0.69,1.5,1.13,34.6,2.81,0.25,0.0,0.0,1.25,1.94,0.06,1.88,0.94,0.0,0.0,0.0,7.88,1.13,1.44,43.9,2022-03-15,Back,4000000.0
29.0,25,21,1844,20.5,0.0,0.49,0.05,10.0,0.0,0.0,19.2,0.0,0.0,0.0,30.7,41.4,74.2,577.0,229.1,12.9,15.1,85.2,14.0,17.5,80.2,3.46,7.12,48.6,0.0,0.44,1.27,0.78,0.44,1.8,41.4,33.4,8.0,0.88,0.05,0.98,1.56,0.0,0.0,0.0,0.0,7.12,30.7,0.1,1.46,1.17,0.78,0.05,0.1,0.05,0.15,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.59,1.66,1.66,0.68,0.24,0.59,1.56,37.5,0.98,1.71,0.39,1.32,3.22,5.8,2.54,0.0,53.2,4.44,20.0,24.1,12.3,0.49,45.5,26.3,156.6,87.2,3.46,1.56,0.15,0.68,0.59,23.1,1.56,0.2,0.0,0.0,1.27,1.37,0.1,1.56,1.66,0.0,0.05,0.0,9.76,2.1,1.76,54.4,2021-12-30,Back,800000.0
23.0,4,0,158,1.8,0.0,0.56,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,46.7,56.7,82.4,710.0,210.0,26.7,28.3,94.1,17.8,21.1,84.2,1.11,2.78,40.0,0.0,0.56,2.78,0.0,0.0,2.22,56.7,49.4,7.22,0.56,0.0,0.56,0.56,0.0,0.0,0.0,0.0,6.67,46.7,0.0,3.33,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,3.33,2.22,2.22,0.0,1.67,3.33,50.0,1.67,3.33,0.0,3.33,3.33,7.78,1.11,0.0,75.0,4.44,21.7,40.0,17.2,0.0,69.4,48.9,166.1,97.2,4.44,2.78,0.0,1.67,0.0,46.7,1.67,0.56,0.0,0.0,2.78,4.44,0.0,0.56,3.33,0.0,0.0,0.0,8.89,0.56,0.56,50.0,2021-12-16,Back,1500000.0
33.0,30,30,2644,29.4,2.0,1.05,0.2,19.4,0.06,0.33,23.5,0.03,0.0,0.0,79.5,94.2,84.3,1389.6,516.3,36.9,40.1,92.1,34.1,39.2,87.0,7.55,11.9,63.2,0.34,1.97,7.86,2.18,0.61,8.64,94.2,82.4,11.8,2.86,0.31,1.73,3.54,0.03,0.0,0.0,0.0,8.91,79.5,0.41,2.24,2.86,2.65,0.07,0.03,0.07,0.03,0.0,0.44,0.41,0.0,0.0,0.03,0.0,0.0,1.5,0.85,0.41,0.88,0.2,0.75,1.56,47.8,0.82,1.9,0.24,1.67,1.63,3.13,1.29,0.07,102.6,3.16,24.4,50.7,32.1,2.79,91.1,64.7,225.4,120.1,5.44,1.5,0.37,0.71,0.27,73.3,3.78,0.37,0.0,0.0,0.95,0.85,0.37,3.54,0.85,0.0,0.0,0.0,9.18,0.61,1.02,37.5,2021-12-30,Back,12000000.0
23.0,32,32,2853,31.7,2.0,1.61,0.44,27.5,0.04,0.14,23.0,0.16,0.0,0.0,63.5,85.4,74.4,1404.1,572.7,22.9,26.1,88.0,25.6,31.9,80.5,14.2,24.8,57.4,0.38,2.81,7.29,2.81,0.82,8.77,85.4,68.0,17.4,2.84,0.63,6.28,4.01,4.13,0.88,2.81,0.06,10.4,63.5,0.19,2.43,4.73,2.74,1.64,0.16,0.16,0.03,0.0,0.54,0.35,0.16,0.0,0.03,0.0,0.0,1.39,0.76,0.69,0.47,0.22,0.73,1.86,39.0,1.14,1.23,0.16,1.07,2.4,3.79,1.36,0.03,94.9,2.43,19.1,44.5,35.6,2.81,77.6,54.4,190.7,104.6,4.92,2.08,0.35,0.76,0.82,59.3,3.88,0.06,0.0,0.0,0.5,0.28,0.35,4.01,0.76,0.0,0.0,0.0,10.1,0.57,0.69,45.0,2021-12-23,Back,80000000.0
31.0,28,25,2167,24.1,4.0,1.78,0.41,23.3,0.09,0.4,18.9,0.37,0.0,0.0,47.0,60.4,77.7,817.2,280.7,23.1,26.1,88.4,18.6,22.1,84.2,4.48,9.75,46.0,0.17,1.83,2.82,1.37,0.62,4.44,60.4,48.2,12.2,1.08,0.04,2.07,2.66,2.7,1.41,0.95,0.08,8.42,47.0,0.12,1.74,3.69,2.53,0.62,0.17,0.21,0.08,0.08,0.37,0.29,0.04,0.0,0.04,0.0,0.0,1.87,1.16,0.87,0.54,0.46,0.58,1.33,43.8,0.75,1.62,0.25,1.37,2.74,4.61,2.28,0.0,74.1,3.11,18.7,26.9,32.2,3.2,61.9,43.4,204.0,106.6,5.1,1.2,0.46,1.12,1.33,43.0,4.56,0.33,0.0,0.0,1.37,1.41,0.12,2.66,1.16,0.0,0.04,0.0,8.96,2.45,1.08,69.4,2021-12-23,Back,15000000.0
39.0,14,13,1098,12.2,1.0,0.41,0.16,40.0,0.2,0.5,30.2,0.0,0.0,0.0,75.3,88.8,84.9,1324.1,433.4,38.4,41.1,93.4,27.6,30.7,89.9,8.36,14.9,56.0,0.25,1.97,8.2,2.21,1.07,4.84,88.8,75.7,13.1,2.7,0.33,4.92,3.03,2.87,0.66,1.39,0.41,7.54,75.3,0.33,0.82,2.54,1.89,0.66,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,2.87,1.56,1.31,1.23,0.33,1.15,2.38,48.3,1.23,1.48,0.25,1.23,1.97,4.84,0.57,0.0,96.4,2.46,19.7,59.4,23.7,0.66,83.4,68.0,287.8,164.8,8.77,3.44,0.0,0.41,0.49,65.4,1.39,0.16,0.08,0.0,2.38,0.98,0.0,3.03,1.56,0.0,0.08,0.0,9.18,0.66,0.74,47.1,2021-12-30,Back,1000000.0
28.0,2,2,128,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3,62.9,86.4,1002.9,270.7,24.3,27.1,89.5,23.6,25.7,91.7,6.43,8.57,75.0,0.0,0.71,4.29,1.43,0.71,5.0,62.9,50.7,12.1,1.43,0.71,2.14,1.43,0.0,0.0,0.0,0.0,10.7,54.3,0.0,1.43,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.14,2.86,1.43,0.71,3.57,6.43,55.6,2.86,0.71,0.0,0.71,0.71,5.71,0.71,0.0,74.3,2.14,17.9,50.0,12.1,0.71,62.1,47.9,230.7,127.1,7.14,2.14,0.0,2.14,1.43,52.1,2.14,0.0,0.0,0.0,2.14,0.71,0.0,1.43,2.14,0.0,0.0,0.0,2.86,2.14,1.43,60.0,2022-05-30,Back,6000000.0
