Age,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Date,Position,Valuation
34.0,34,34,2983,33.1,2.0,0.54,0.18,33.3,0.11,0.33,18.7,0.0,0.0,0.0,38.7,47.0,82.4,835.8,287.9,10.2,11.4,89.9,22.4,25.0,89.4,5.65,9.15,61.7,0.0,0.24,2.45,0.18,0.0,2.72,47.0,44.0,3.02,2.45,0.0,1.66,0.06,0.0,0.0,0.0,0.0,0.42,38.7,0.15,0.88,0.63,0.42,0.0,0.09,0.03,0.0,0.09,0.03,0.0,0.0,0.03,0.0,0.0,0.0,1.87,1.39,1.24,0.6,0.03,0.39,0.82,48.1,0.42,1.87,0.79,1.09,3.11,4.98,3.2,0.0,57.3,8.28,32.8,25.7,2.9,0.85,54.5,35.7,204.7,115.5,2.75,0.73,0.0,0.45,0.39,36.3,0.36,0.15,0.03,0.0,1.3,0.73,0.0,0.06,1.39,0.0,0.03,0.0,6.77,2.02,1.36,59.8,2022-05-30,Centre-Back,1200000.0
26.0,8,6,560,6.2,0.0,0.32,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,31.3,35.5,88.2,696.8,186.0,6.77,7.42,91.3,18.5,20.0,92.7,5.81,7.74,75.0,0.0,0.0,1.29,0.0,0.0,1.45,35.5,34.0,1.45,0.81,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.32,31.3,0.16,0.16,0.48,0.16,0.0,0.0,0.32,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,1.13,0.97,0.81,0.16,0.16,0.48,0.65,75.0,0.16,2.1,0.81,1.29,1.77,2.9,6.29,0.16,46.8,10.2,30.0,18.2,1.13,0.81,45.5,25.2,129.5,77.1,1.13,0.0,0.0,0.32,0.0,29.4,0.16,0.32,0.0,0.0,0.81,0.81,0.0,0.0,0.97,0.0,0.0,0.16,4.03,1.94,2.42,44.4,2022-04-11,Centre-Back,6000000.0
34.0,30,29,2536,28.2,4.0,0.57,0.25,43.8,0.25,0.57,9.2,0.0,0.0,0.0,64.3,71.1,90.3,1345.5,409.9,20.1,21.6,93.1,33.3,35.3,94.4,9.93,12.9,77.1,0.0,0.21,4.33,0.21,0.0,3.12,71.1,68.6,2.52,2.2,0.07,2.66,0.04,0.0,0.0,0.0,0.0,0.04,64.3,0.04,0.43,0.64,0.5,0.04,0.0,0.04,0.07,0.0,0.07,0.04,0.0,0.0,0.0,0.04,0.0,0.96,0.43,0.64,0.32,0.0,0.32,0.71,45.0,0.39,1.7,1.06,0.64,1.7,2.66,4.08,0.04,80.2,12.3,42.0,41.4,2.3,0.78,77.9,52.4,284.8,161.6,3.48,0.71,0.0,0.28,0.11,57.8,0.35,0.07,0.04,0.0,0.71,0.67,0.14,0.04,0.43,0.04,0.0,0.0,10.7,2.84,1.6,64.0,2022-03-15,Centre-Back,5000000.0
26.0,31,31,2735,30.4,2.0,0.82,0.23,28.0,0.08,0.29,8.6,0.0,0.0,0.0,64.3,71.5,90.0,1482.1,482.3,16.0,17.1,93.4,33.3,34.8,95.5,14.8,18.9,78.4,0.07,0.1,3.65,0.07,0.0,2.93,71.5,69.3,2.2,2.04,0.03,3.26,0.07,0.0,0.0,0.0,0.0,0.16,64.3,0.1,0.53,0.39,0.33,0.0,0.0,0.03,0.03,0.0,0.13,0.1,0.0,0.0,0.0,0.03,0.0,0.99,0.39,0.56,0.43,0.0,0.23,0.59,38.9,0.36,0.99,0.43,0.56,1.78,2.76,5.0,0.07,81.2,9.51,41.3,42.7,1.88,1.15,79.1,57.1,279.3,149.8,2.43,0.16,0.0,0.23,0.2,61.3,0.07,0.1,0.03,0.0,0.59,0.53,0.03,0.07,0.39,0.03,0.07,0.0,7.63,3.55,1.51,70.1,2022-05-30,Centre-Back,12000000.0
23.0,15,15,1350,15.0,0.0,0.47,0.27,57.1,0.0,0.0,14.8,0.0,0.0,0.0,51.3,57.9,88.6,1028.1,308.7,19.1,20.2,94.7,24.3,26.5,91.5,7.53,10.1,74.3,0.07,0.67,2.07,0.4,0.13,3.73,57.9,55.7,2.2,1.47,0.07,1.87,0.47,0.0,0.0,0.0,0.0,0.73,51.3,0.07,0.6,1.33,1.2,0.0,0.0,0.07,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,2.33,1.47,1.8,0.47,0.07,0.87,1.8,48.1,0.93,1.27,0.53,0.73,2.27,4.6,3.07,0.0,67.8,8.8,33.9,34.5,4.53,1.13,65.7,44.3,275.8,163.1,4.13,0.8,0.33,0.27,0.47,45.1,0.2,0.4,0.0,0.0,1.4,0.73,0.0,0.47,1.47,0.0,0.0,0.0,10.4,1.67,0.67,71.4,2022-05-30,Centre-Back,6000000.0
26.0,32,30,2637,29.3,0.0,0.2,0.03,16.7,0.0,0.0,12.8,0.0,0.0,0.0,43.1,52.0,83.0,991.7,281.3,10.1,11.5,88.1,22.2,24.8,89.5,10.3,14.7,69.9,0.0,0.1,3.45,0.24,0.03,3.41,52.0,50.8,1.23,0.55,0.07,1.23,0.07,0.0,0.0,0.0,0.0,0.68,43.1,0.1,0.51,0.44,0.41,0.0,0.0,0.03,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.98,1.4,1.57,0.27,0.14,0.75,1.13,66.7,0.38,1.67,0.58,1.09,1.88,3.86,4.44,0.07,62.0,7.88,33.4,31.3,1.64,0.38,60.9,40.5,240.8,135.0,3.58,0.27,0.03,0.27,0.34,39.9,0.17,0.03,0.0,0.0,0.38,0.65,0.03,0.07,1.4,0.0,0.0,0.03,9.59,2.63,1.74,60.2,2021-12-30,Centre-Back,5000000.0
24.0,24,23,1995,22.2,1.0,0.32,0.05,14.3,0.14,1.0,9.1,0.0,0.0,0.0,28.3,39.3,72.1,522.6,237.3,11.0,13.3,82.8,13.3,16.7,79.7,3.33,6.89,48.4,0.14,0.27,2.16,0.45,0.05,3.38,39.3,32.5,6.85,0.36,0.0,0.68,0.54,0.0,0.0,0.0,0.0,6.49,28.3,0.18,1.8,1.26,0.9,0.18,0.05,0.05,0.05,0.05,0.27,0.14,0.05,0.05,0.0,0.05,0.0,1.8,0.99,1.13,0.54,0.14,0.9,1.62,55.6,0.72,1.62,0.59,1.04,2.21,4.01,3.65,0.05,49.9,5.27,20.8,24.1,8.29,1.4,43.2,25.3,152.5,92.2,3.29,1.22,0.09,0.59,0.5,24.1,0.81,0.23,0.0,0.0,0.81,0.86,0.0,0.54,0.99,0.0,0.0,0.0,8.38,2.84,1.71,62.4,2021-12-23,Centre-Back,17000000.0
26.0,26,25,2261,25.1,1.0,0.56,0.12,21.4,0.07,0.33,10.4,0.04,0.0,0.0,71.8,79.1,90.7,1601.2,526.8,19.5,21.1,92.4,37.9,39.5,95.9,14.2,17.8,79.6,0.0,0.08,5.18,0.12,0.0,4.82,79.1,76.6,2.55,2.31,0.0,2.75,0.08,0.0,0.0,0.0,0.0,0.24,71.8,0.12,0.6,0.44,0.32,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,1.43,1.16,0.64,0.2,0.88,1.43,61.1,0.56,1.51,0.72,0.8,1.87,3.86,2.91,0.0,87.6,10.2,43.3,47.6,2.83,0.88,85.4,60.8,355.1,184.1,5.1,0.48,0.0,0.2,0.16,66.3,0.24,0.12,0.0,0.0,0.92,1.04,0.04,0.08,1.43,0.0,0.0,0.04,9.56,2.55,1.55,62.1,2021-12-22,Centre-Back,30000000.0
27.0,26,19,1527,17.0,2.0,0.71,0.24,33.3,0.17,0.5,12.7,0.0,0.0,0.0,42.4,54.7,77.5,801.4,322.1,17.5,20.5,85.3,19.5,23.2,83.8,5.0,8.94,55.9,0.12,0.71,3.24,0.76,0.12,4.65,54.7,44.2,10.5,1.0,0.12,1.12,1.71,0.0,0.0,0.0,0.0,9.47,42.4,0.18,2.12,1.59,1.06,0.06,0.18,0.18,0.06,0.06,0.24,0.12,0.0,0.0,0.06,0.0,0.06,2.18,1.18,1.0,0.71,0.47,1.06,1.88,56.3,0.82,3.29,0.12,3.18,2.06,4.24,1.88,0.12,67.2,3.71,22.4,31.9,16.8,2.06,57.1,37.8,180.6,101.9,4.0,1.18,0.76,1.06,0.82,37.4,1.18,0.29,0.0,0.0,1.76,1.41,0.24,1.71,1.18,0.0,0.06,0.0,8.47,1.35,1.29,51.1,2021-12-22,Centre-Back,6000000.0
29.0,30,30,2642,29.4,2.0,0.71,0.2,28.6,0.1,0.33,22.0,0.24,0.0,0.0,61.4,66.9,91.7,1143.1,371.3,25.5,26.5,96.5,27.6,29.3,94.3,7.35,9.69,75.8,0.1,0.75,4.49,0.61,0.17,3.47,66.9,64.0,2.86,1.36,0.07,0.65,1.09,0.1,0.1,0.0,0.0,1.16,61.4,0.17,0.68,1.56,1.26,0.07,0.03,0.14,0.0,0.07,0.27,0.24,0.0,0.0,0.03,0.0,0.0,0.85,0.61,0.44,0.34,0.07,0.31,0.54,56.3,0.24,1.26,0.58,0.68,1.39,2.24,2.28,0.07,73.8,8.74,33.6,36.5,10.0,1.67,70.7,54.4,331.9,181.2,4.29,1.5,0.27,0.41,0.24,57.4,1.84,0.07,0.0,0.0,0.61,0.44,0.07,1.09,0.61,0.0,0.0,0.0,6.43,0.78,0.78,50.0,2021-12-30,Centre-Back,55000000.0
