Age,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Date,Position,Valuation
22.0,1,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,33.3,48.0,0.0,2.0,4.0,50.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,10.0,18.0,6.0,24.0,18.0,118.0,18.0,0.0,2.0,0.0,8.0,0.0,16.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,2022-03-24,Centre-Forward,2000000.0
23.0,24,5,726,8.1,0.0,2.22,0.49,22.2,0.0,0.0,15.6,0.0,0.0,0.0,11.1,17.2,64.7,160.0,40.7,6.67,9.63,69.2,3.09,4.69,65.8,0.62,1.23,50.0,0.12,0.99,0.86,0.74,0.0,1.6,17.2,16.0,1.11,0.12,0.12,0.25,0.25,0.0,0.0,0.0,0.0,0.0,11.1,0.25,1.11,2.47,1.48,0.0,0.0,0.12,0.25,0.62,0.25,0.12,0.0,0.0,0.12,0.0,0.0,1.73,0.86,0.37,0.86,0.49,0.25,1.36,18.2,1.11,1.23,0.37,0.86,0.99,2.72,0.86,0.0,33.0,1.11,3.46,15.6,15.6,3.83,31.9,19.0,74.7,40.2,2.59,0.99,0.86,5.06,1.36,21.1,5.93,0.37,0.0,0.0,2.22,1.48,1.85,0.25,0.86,0.0,0.0,0.0,4.81,2.72,4.94,35.5,2021-12-22,Centre-Forward,900000.0
19.0,7,1,103,1.1,0.0,1.82,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,7.27,9.09,80.0,90.9,20.0,3.64,5.45,66.7,3.64,3.64,100.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.0,0.91,9.09,9.09,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,7.27,0.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.91,1.82,0.0,1.82,0.91,0.91,0.91,0.0,22.7,1.82,1.82,10.0,10.9,2.73,22.7,16.4,61.8,31.8,2.73,0.0,0.0,1.82,4.55,11.8,7.27,0.0,0.0,0.0,1.82,0.91,0.0,0.91,0.0,0.0,0.0,0.0,6.36,0.0,1.82,0.0,2021-12-16,Centre-Forward,2000000.0
24.0,37,36,3084,34.3,0.5,2.71,0.93,34.4,0.15,0.44,12.2,0.06,0.09,0.09,14.6,20.2,72.0,224.9,51.2,8.69,11.4,76.2,4.05,5.86,69.2,1.28,1.6,80.0,0.12,1.02,1.08,0.82,0.12,1.78,20.2,18.3,1.98,0.17,0.15,0.32,0.7,0.0,0.0,0.0,0.0,0.03,14.6,0.0,0.7,2.33,1.63,0.03,0.03,0.38,0.17,0.09,0.35,0.15,0.0,0.03,0.09,0.09,0.0,0.99,0.64,0.29,0.44,0.26,0.29,0.67,43.5,0.38,0.96,0.32,0.64,0.44,1.43,0.9,0.0,32.4,0.96,2.54,16.3,15.2,5.86,30.4,18.0,76.8,39.4,2.45,0.82,0.67,2.39,1.28,22.4,6.71,0.26,0.0,0.0,1.25,1.46,0.5,0.7,0.64,0.03,0.03,0.0,3.67,2.39,2.89,45.3,2022-03-15,Centre-Forward,45000000.0
23.0,13,1,259,2.9,0.0,3.79,0.69,18.2,0.0,0.0,15.8,0.0,0.0,0.0,14.5,24.5,59.2,209.3,43.8,7.59,12.1,62.9,5.86,9.31,63.0,0.34,1.03,33.3,0.34,0.69,1.03,0.69,0.69,1.03,24.5,23.8,0.69,0.0,0.0,0.34,2.07,0.0,0.0,0.0,0.0,0.69,14.5,0.34,1.72,1.72,1.03,0.0,0.34,0.34,0.0,0.0,0.34,0.0,0.0,0.0,0.34,0.0,0.0,0.69,0.69,0.0,0.34,0.34,0.69,1.03,66.7,0.34,1.03,0.0,1.03,0.0,0.69,0.34,0.0,44.8,0.34,2.76,20.3,24.8,6.21,44.5,26.9,150.7,96.2,5.52,2.07,1.72,5.52,2.76,34.8,10.7,0.0,0.0,0.0,2.07,2.76,2.07,2.07,0.69,0.0,0.0,0.0,5.17,6.9,3.79,64.5,2021-12-22,Centre-Forward,1800000.0
29.0,13,2,331,3.7,0.27,0.81,0.54,66.7,0.33,0.5,16.7,0.0,0.0,0.0,19.7,26.5,74.5,311.9,80.8,10.3,12.2,84.4,7.84,10.3,76.3,1.35,2.16,62.5,0.0,1.08,1.35,1.08,0.54,2.43,26.5,25.1,1.35,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,1.35,19.7,0.0,1.89,2.97,2.16,0.0,0.54,0.0,0.0,0.27,0.27,0.27,0.0,0.0,0.0,0.0,0.0,3.51,2.16,2.16,1.08,0.27,1.35,3.51,38.5,2.16,1.35,0.0,1.35,0.81,4.32,0.54,0.0,41.4,1.08,7.3,18.1,17.8,3.24,40.0,28.1,136.2,55.9,3.24,0.27,0.0,3.24,3.51,25.9,6.49,0.0,0.0,0.0,1.62,2.43,1.08,1.62,2.16,0.0,0.0,0.0,7.03,1.35,3.51,27.8,2022-04-12,Centre-Forward,3500000.0
19.0,17,6,668,7.4,0.27,2.43,0.95,38.9,0.11,0.29,15.0,0.0,0.0,0.0,16.9,22.2,76.2,247.2,35.7,9.86,12.2,81.1,5.68,7.03,80.8,0.68,1.22,55.6,0.0,0.68,0.41,0.81,0.27,1.35,22.2,20.9,1.22,0.14,0.0,0.54,1.08,0.0,0.0,0.0,0.0,0.81,16.9,0.0,1.35,3.24,2.16,0.0,0.14,0.27,0.54,0.14,0.41,0.27,0.0,0.14,0.0,0.0,0.0,1.08,0.54,0.14,0.81,0.14,0.54,1.22,44.4,0.68,0.68,0.0,0.68,0.68,1.76,0.0,0.0,41.6,0.0,2.97,17.0,25.9,7.03,40.4,32.7,159.9,103.9,3.92,2.16,0.95,4.46,4.32,29.7,8.92,0.68,0.14,0.14,2.03,3.51,0.54,1.08,0.54,0.0,0.0,0.0,6.22,1.22,2.43,33.3,2021-12-28,Centre-Forward,5000000.0
28.0,36,31,2738,30.4,0.39,1.94,0.79,40.7,0.15,0.38,13.1,0.0,0.1,0.1,22.0,29.9,73.7,334.2,44.9,12.6,15.9,79.7,6.28,8.59,73.2,1.78,2.63,67.5,0.26,1.25,0.95,0.89,0.16,1.51,29.9,29.2,0.69,0.0,0.03,0.56,0.59,0.0,0.0,0.0,0.0,0.07,22.0,0.03,1.05,2.47,1.81,0.0,0.07,0.23,0.3,0.07,0.3,0.2,0.0,0.0,0.07,0.03,0.0,1.51,0.82,0.13,0.76,0.63,0.26,1.32,20.0,1.05,0.79,0.16,0.63,0.49,2.01,1.05,0.03,41.5,1.22,3.75,21.9,17.3,5.07,40.8,21.1,72.2,31.1,1.58,0.69,0.23,2.63,1.48,32.2,8.45,0.16,0.03,0.0,1.32,1.22,0.46,0.59,0.82,0.07,0.0,0.03,3.75,5.07,3.95,56.2,2022-05-30,Centre-Forward,16000000.0
29.0,27,5,655,7.3,0.82,3.15,1.78,56.5,0.26,0.46,11.2,0.0,0.0,0.14,14.5,21.2,68.4,194.1,31.5,9.04,12.6,71.7,4.52,5.89,76.7,0.27,0.96,28.6,0.0,0.96,0.14,0.27,0.0,0.96,21.2,20.1,1.1,0.0,0.14,0.14,0.41,0.0,0.0,0.0,0.0,0.27,14.5,0.0,0.55,3.42,2.19,0.0,0.68,0.14,0.41,0.0,0.55,0.41,0.0,0.14,0.0,0.0,0.0,0.68,0.55,0.0,0.55,0.14,0.27,0.41,66.7,0.14,0.96,0.0,0.96,0.41,1.1,0.82,0.0,34.5,0.96,3.15,14.9,18.5,7.4,33.4,22.5,90.1,38.8,2.05,0.96,0.55,3.29,2.19,26.8,7.53,0.27,0.0,0.0,1.1,1.51,0.96,0.41,0.55,0.14,0.0,0.0,3.42,2.74,4.79,36.4,2021-12-22,Centre-Forward,10000000.0
30.0,26,13,1257,14.0,0.21,2.5,0.93,37.1,0.09,0.23,11.3,0.0,0.0,0.0,12.0,18.1,66.4,145.6,27.4,7.71,10.5,73.5,2.57,4.57,56.3,0.21,0.5,42.9,0.07,0.71,0.21,0.36,0.07,0.64,18.1,17.3,0.79,0.0,0.0,0.07,1.07,0.0,0.0,0.0,0.0,0.07,12.0,0.0,1.0,1.57,1.29,0.0,0.0,0.07,0.14,0.07,0.29,0.21,0.0,0.0,0.0,0.07,0.0,0.93,0.64,0.07,0.29,0.57,0.5,0.79,63.6,0.29,0.5,0.0,0.5,0.21,1.14,0.64,0.0,30.6,0.64,1.71,12.6,17.2,5.79,29.8,17.2,57.3,20.7,1.07,0.36,0.21,3.71,1.86,23.2,6.79,0.21,0.0,0.0,1.93,1.21,0.43,1.07,0.64,0.0,0.0,0.0,3.07,3.71,6.0,38.2,2021-12-22,Centre-Forward,3000000.0
