Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%
1,Max Aarons,ENG,DF,Norwich City,Premier League,22.0,2000,34,32,2881,32.0,0.0,0.41,0.06,15.4,0.0,0.0,20.5,0.0,0.0,0.0,34.0,45.0,75.5,574.1,214.8,17.5,19.4,90.0,13.1,17.0,77.0,3.06,6.78,45.2,0.06,0.59,1.56,1.13,0.25,2.94,45.0,34.4,10.6,0.84,0.06,5.41,0.59,1.41,0.0,0.0,0.0,0.0,26.5,9.59,8.94,4.91,29.0,0.91,9.72,0.06,34.0,0.22,0.88,1.63,1.75,1.19,0.84,0.06,0.09,0.13,0.06,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.16,1.16,1.56,0.59,0.0,1.16,1.81,63.8,0.66,13.6,3.53,26.0,7.97,4.38,1.22,2.69,0.69,0.03,2.0,1.75,3.91,2.19,0.0,58.0,5.06,23.3,23.8,15.0,0.91,47.8,1.03,2.44,42.3,1.09,0.19,33.9,199.4,121.7,5.44,1.66,0.41,0.84,0.94,36.0,32.4,89.9,1.28,0.25,0.0,0.0,0.97,1.84,0.03,1.41,1.16,0.0,0.06,0.03,5.53,0.47,1.59,22.7,2021-12-23,22000000.0,,,,,
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34.0,1987,34,34,2983,33.1,0.06,0.54,0.18,33.3,0.11,0.33,18.7,0.0,0.0,0.0,38.7,47.0,82.4,835.8,287.9,10.2,11.4,89.9,22.4,25.0,89.4,5.65,9.15,61.7,0.0,0.24,2.45,0.18,0.0,2.72,47.0,44.0,3.02,2.45,0.0,5.68,1.66,0.06,0.0,0.0,0.0,0.0,35.3,3.78,7.95,31.7,12.1,1.48,0.42,0.12,38.7,0.15,0.97,1.24,0.88,0.63,0.42,0.0,0.09,0.03,0.0,0.09,0.03,0.0,0.0,0.03,0.0,0.0,0.0,1.87,1.39,1.24,0.6,0.03,0.39,0.82,48.1,0.42,13.6,4.89,35.9,7.61,5.14,0.88,1.87,0.79,0.06,1.09,3.11,4.98,3.2,0.0,57.3,8.28,32.8,25.7,2.9,0.85,54.5,0.48,0.66,72.7,0.48,0.03,35.7,204.7,115.5,2.75,0.73,0.0,0.45,0.39,37.5,36.3,96.9,0.36,0.15,0.03,0.0,1.3,0.73,0.0,0.06,1.39,0.0,0.03,0.0,6.77,2.02,1.36,59.8,2022-05-30,1200000.0,,,,,
9,Luis Abram,PER,DF,Granada,La Liga,26.0,1996,8,6,560,6.2,0.0,0.32,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,31.3,35.5,88.2,696.8,186.0,6.77,7.42,91.3,18.5,20.0,92.7,5.81,7.74,75.0,0.0,0.0,1.29,0.0,0.0,1.45,35.5,34.0,1.45,0.81,0.0,1.61,1.13,0.0,0.0,0.0,0.0,0.0,28.2,2.42,4.84,29.2,3.55,1.77,0.32,0.16,31.3,0.16,0.16,0.32,0.16,0.48,0.16,0.0,0.0,0.32,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,1.13,0.97,0.81,0.16,0.16,0.48,0.65,75.0,0.16,5.65,2.1,37.1,2.26,3.23,0.16,2.1,0.81,0.32,1.29,1.77,2.9,6.29,0.16,46.8,10.2,30.0,18.2,1.13,0.81,45.5,0.0,0.0,0.0,0.0,0.0,25.2,129.5,77.1,1.13,0.0,0.0,0.32,0.0,30.2,29.4,97.3,0.16,0.32,0.0,0.0,0.81,0.81,0.0,0.0,0.97,0.0,0.0,0.16,4.03,1.94,2.42,44.4,2022-04-11,6000000.0,,,,,
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34.0,1988,30,29,2536,28.2,0.14,0.57,0.25,43.8,0.25,0.57,9.2,0.0,0.0,0.0,64.3,71.1,90.3,1345.5,409.9,20.1,21.6,93.1,33.3,35.3,94.4,9.93,12.9,77.1,0.0,0.21,4.33,0.21,0.0,3.12,71.1,68.6,2.52,2.2,0.07,5.96,2.66,0.04,0.0,0.0,0.0,0.0,52.8,5.6,12.7,54.1,12.2,2.77,0.04,0.28,64.3,0.04,0.78,0.85,0.43,0.64,0.5,0.04,0.0,0.04,0.07,0.0,0.07,0.04,0.0,0.0,0.0,0.04,0.0,0.96,0.43,0.64,0.32,0.0,0.32,0.71,45.0,0.39,5.85,1.7,29.1,3.05,2.41,0.39,1.7,1.06,0.0,0.64,1.7,2.66,4.08,0.04,80.2,12.3,42.0,41.4,2.3,0.78,77.9,0.11,0.14,75.0,0.11,0.0,52.4,284.8,161.6,3.48,0.71,0.0,0.28,0.11,58.8,57.8,98.3,0.35,0.07,0.04,0.0,0.71,0.67,0.14,0.04,0.43,0.04,0.0,0.0,10.7,2.84,1.6,64.0,2022-03-15,5000000.0,,,,,
26,Nayef Aguerd,MAR,DF,Rennes,Ligue 1,26.0,1996,31,31,2735,30.4,0.07,0.82,0.23,28.0,0.08,0.29,8.6,0.0,0.0,0.0,64.3,71.5,90.0,1482.1,482.3,16.0,17.1,93.4,33.3,34.8,95.5,14.8,18.9,78.4,0.07,0.1,3.65,0.07,0.0,2.93,71.5,69.3,2.2,2.04,0.03,6.12,3.26,0.07,0.0,0.0,0.0,0.0,59.0,3.22,9.31,60.6,7.3,1.94,0.16,0.13,64.3,0.1,0.76,1.22,0.53,0.39,0.33,0.0,0.0,0.03,0.03,0.0,0.13,0.1,0.0,0.0,0.0,0.03,0.0,0.99,0.39,0.56,0.43,0.0,0.23,0.59,38.9,0.36,6.25,2.17,34.7,3.36,2.76,0.13,0.99,0.43,0.0,0.56,1.78,2.76,5.0,0.07,81.2,9.51,41.3,42.7,1.88,1.15,79.1,0.16,0.2,83.3,0.16,0.0,57.1,279.3,149.8,2.43,0.16,0.0,0.23,0.2,62.2,61.3,98.6,0.07,0.1,0.03,0.0,0.59,0.53,0.03,0.07,0.39,0.03,0.07,0.0,7.63,3.55,1.51,70.1,2022-05-30,12000000.0,,,,,
28,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29.0,1993,28,22,2140,23.8,0.0,0.42,0.08,20.0,0.0,0.0,22.2,0.0,0.0,0.0,60.4,72.1,83.8,1057.5,415.0,28.5,30.9,92.3,26.7,30.7,87.0,4.71,8.57,54.9,0.08,0.5,5.46,1.43,0.25,6.43,72.1,60.4,11.7,1.51,0.13,6.85,1.43,2.18,0.04,0.0,0.04,0.0,46.1,14.5,11.5,1.13,57.5,1.76,10.1,0.42,60.4,0.25,0.84,2.1,1.64,1.09,0.88,0.04,0.04,0.0,0.08,0.04,0.13,0.13,0.0,0.0,0.0,0.0,0.0,3.82,2.14,2.02,1.39,0.42,1.89,3.07,61.6,1.18,17.5,5.76,32.9,7.94,7.14,2.44,1.64,0.29,0.0,1.34,2.48,6.3,2.94,0.04,84.3,3.74,22.9,44.6,21.5,1.3,73.1,0.42,0.71,58.8,0.5,0.0,48.8,232.9,141.9,6.34,1.81,0.17,0.63,0.38,54.5,50.5,92.8,2.14,0.17,0.0,0.0,1.34,1.26,0.04,2.18,2.14,0.0,0.0,0.04,9.92,1.64,1.68,49.4,2022-05-30,10000000.0,,,,,
31,Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,23.0,1999,15,15,1350,15.0,0.0,0.47,0.27,57.1,0.0,0.0,14.8,0.0,0.0,0.0,51.3,57.9,88.6,1028.1,308.7,19.1,20.2,94.7,24.3,26.5,91.5,7.53,10.1,74.3,0.07,0.67,2.07,0.4,0.13,3.73,57.9,55.7,2.2,1.47,0.07,6.73,1.87,0.47,0.0,0.0,0.0,0.0,46.4,4.27,7.27,8.87,44.3,2.73,0.73,0.07,51.3,0.07,0.93,0.73,0.6,1.33,1.2,0.0,0.0,0.07,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,2.33,1.47,1.8,0.47,0.07,0.87,1.8,48.1,0.93,9.93,3.33,33.6,5.8,3.13,1.0,1.27,0.53,0.0,0.73,2.27,4.6,3.07,0.0,67.8,8.8,33.9,34.5,4.53,1.13,65.7,0.13,0.33,40.0,0.2,0.07,44.3,275.8,163.1,4.13,0.8,0.33,0.27,0.47,45.8,45.1,98.5,0.2,0.4,0.0,0.0,1.4,0.73,0.0,0.47,1.47,0.0,0.0,0.0,10.4,1.67,0.67,71.4,2022-05-30,6000000.0,,,,,
33,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26.0,1995,32,30,2637,29.3,0.0,0.2,0.03,16.7,0.0,0.0,12.8,0.0,0.0,0.0,43.1,52.0,83.0,991.7,281.3,10.1,11.5,88.1,22.2,24.8,89.5,10.3,14.7,69.9,0.0,0.1,3.45,0.24,0.03,3.41,52.0,50.8,1.23,0.55,0.07,5.56,1.23,0.07,0.0,0.0,0.0,0.0,38.1,3.92,10.0,8.57,38.1,3.14,0.68,0.34,43.1,0.1,1.06,1.37,0.51,0.44,0.41,0.0,0.0,0.03,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.98,1.4,1.57,0.27,0.14,0.75,1.13,66.7,0.38,10.9,4.23,38.9,7.06,3.38,0.44,1.67,0.58,0.0,1.09,1.88,3.86,4.44,0.07,62.0,7.88,33.4,31.3,1.64,0.38,60.9,0.27,0.34,80.0,0.27,0.03,40.5,240.8,135.0,3.58,0.27,0.03,0.27,0.34,40.3,39.9,98.9,0.17,0.03,0.0,0.0,0.38,0.65,0.03,0.07,1.4,0.0,0.0,0.03,9.59,2.63,1.74,60.2,2021-12-30,5000000.0,,,,,
34,Ola Aina,NGA,DF,Torino,Serie A,25.0,1996,21,17,1437,16.0,0.0,0.63,0.25,40.0,0.0,0.0,22.1,0.0,0.0,0.0,34.1,47.3,72.1,603.5,266.3,16.1,18.6,86.6,13.6,17.5,77.5,3.88,8.44,45.9,0.0,1.06,2.63,1.31,0.31,4.19,47.3,37.9,9.44,0.56,0.13,5.31,0.56,1.88,0.0,0.0,0.0,0.0,25.4,8.94,12.9,9.44,26.3,1.81,8.88,0.19,34.1,0.25,0.69,1.44,2.5,2.19,1.88,0.13,0.13,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.94,0.94,0.81,0.25,1.06,1.56,68.0,0.5,10.5,3.38,32.1,3.63,4.38,2.5,1.56,0.19,0.0,1.38,2.06,4.06,2.06,0.0,61.0,3.19,15.5,29.4,20.4,2.06,52.0,1.0,1.94,51.6,1.06,0.13,33.8,190.8,114.6,5.38,1.88,0.69,1.5,1.13,40.2,34.6,86.0,2.81,0.25,0.0,0.0,1.25,1.94,0.06,1.88,0.94,0.0,0.0,0.0,7.88,1.13,1.44,43.9,2022-03-15,4000000.0,,,,,
36,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24.0,1998,24,23,1995,22.2,0.05,0.32,0.05,14.3,0.14,1.0,9.1,0.0,0.0,0.0,28.3,39.3,72.1,522.6,237.3,11.0,13.3,82.8,13.3,16.7,79.7,3.33,6.89,48.4,0.14,0.27,2.16,0.45,0.05,3.38,39.3,32.5,6.85,0.36,0.0,6.22,0.68,0.54,0.0,0.0,0.0,0.0,20.2,9.77,9.32,1.89,26.0,2.84,6.49,0.09,28.3,0.18,1.04,1.49,1.8,1.26,0.9,0.18,0.05,0.05,0.05,0.05,0.27,0.14,0.05,0.05,0.0,0.05,0.0,1.8,0.99,1.13,0.54,0.14,0.9,1.62,55.6,0.72,9.28,3.29,35.4,4.82,3.15,1.31,1.62,0.59,0.05,1.04,2.21,4.01,3.65,0.05,49.9,5.27,20.8,24.1,8.29,1.4,43.2,0.5,0.77,64.7,0.5,0.0,25.3,152.5,92.2,3.29,1.22,0.09,0.59,0.5,26.8,24.1,89.7,0.81,0.23,0.0,0.0,0.81,0.86,0.0,0.54,0.99,0.0,0.0,0.0,8.38,2.84,1.71,62.4,2021-12-23,17000000.0,,,,,
