Age,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Date,Position,Valuation
22.0,31,29,2462,27.4,1.0,0.66,0.18,27.8,0.06,0.2,20.3,0.0,0.0,0.0,55.9,61.0,91.7,1033.3,184.4,22.5,24.1,93.5,25.8,27.2,94.9,6.72,7.81,86.0,0.0,0.55,2.81,0.47,0.04,2.96,61.0,60.3,0.73,0.58,0.04,0.8,0.36,0.0,0.0,0.0,0.0,0.15,55.9,0.07,0.84,1.46,1.09,0.0,0.0,0.15,0.15,0.07,0.04,0.04,0.0,0.0,0.0,0.0,0.0,2.01,1.24,0.91,0.91,0.18,0.69,2.15,32.2,1.46,0.99,0.04,0.95,1.86,3.87,0.55,0.0,70.4,2.01,22.7,41.8,10.9,0.62,69.9,53.5,246.5,106.3,2.85,0.73,0.15,0.84,1.46,54.2,1.72,0.44,0.11,0.07,1.64,1.28,0.0,0.36,1.24,0.0,0.0,0.0,8.76,0.88,0.88,50.0,2022-05-30,Defensive Midfield,3000000.0
29.0,34,34,2956,32.8,0.0,0.91,0.21,23.3,0.0,0.0,22.6,0.0,0.0,0.0,40.7,49.8,81.6,780.8,206.0,16.3,18.4,88.6,17.3,19.6,87.9,6.25,9.39,66.6,0.06,0.91,3.87,0.58,0.18,4.18,49.8,49.0,0.85,0.64,0.18,1.49,0.79,0.03,0.0,0.0,0.0,0.15,40.7,0.21,1.68,2.01,1.49,0.06,0.03,0.03,0.21,0.18,0.15,0.12,0.0,0.0,0.0,0.03,0.0,3.57,2.23,1.49,1.71,0.37,1.8,4.97,36.2,3.17,1.68,0.09,1.59,2.56,6.13,0.34,0.0,61.6,0.67,13.7,40.3,11.6,0.46,60.9,45.7,171.9,86.4,2.87,1.13,0.09,0.85,1.46,43.0,1.86,0.27,0.0,0.0,1.4,2.07,0.03,0.79,2.23,0.0,0.0,0.0,8.87,0.43,0.43,50.0,2022-05-30,Defensive Midfield,3000000.0
20.0,1,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,60.0,490.0,0.0,10.0,10.0,100.0,20.0,20.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,50.0,0.0,10.0,30.0,20.0,0.0,50.0,40.0,170.0,100.0,10.0,10.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2022-05-30,Defensive Midfield,300000.0
23.0,24,12,1351,15.0,0.0,0.13,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,52.8,60.9,86.7,873.5,217.7,26.5,29.0,91.3,19.9,22.2,89.8,4.87,6.73,72.3,0.07,0.53,4.93,0.67,0.0,4.13,60.9,58.3,2.67,1.67,0.07,0.4,0.2,0.0,0.0,0.0,0.0,0.93,52.8,0.27,1.47,1.67,1.53,0.0,0.07,0.07,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,1.73,1.07,0.4,1.13,0.2,0.53,1.87,28.6,1.33,2.13,0.07,2.07,1.53,3.27,1.33,0.07,71.0,1.93,15.2,47.9,12.7,0.87,68.5,48.0,229.6,116.7,5.07,1.27,0.2,0.67,1.13,49.4,1.2,0.33,0.0,0.0,1.33,1.2,0.0,0.2,1.07,0.0,0.0,0.0,10.6,1.53,0.8,65.7,2022-03-24,Defensive Midfield,17000000.0
18.0,8,2,352,3.9,0.0,1.03,0.26,25.0,0.0,0.0,10.8,0.0,0.0,0.0,27.4,37.4,73.3,473.6,142.3,11.3,14.1,80.0,12.3,15.4,80.0,2.31,3.85,60.0,0.0,0.77,2.56,0.51,0.0,2.82,37.4,35.9,1.54,0.51,0.0,0.26,0.51,1.03,0.0,1.03,0.0,0.0,27.4,0.26,2.05,2.05,1.79,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,3.08,2.05,1.28,0.26,1.28,3.85,33.3,2.56,1.03,0.0,1.03,3.59,7.18,1.54,0.0,50.0,2.31,13.1,23.6,15.6,1.54,48.5,31.0,160.3,76.9,2.05,0.26,0.0,2.05,0.77,27.4,2.82,0.26,0.0,0.0,4.1,0.51,0.0,0.51,3.08,0.0,0.0,0.0,10.3,0.51,2.05,20.0,2022-05-30,Defensive Midfield,800000.0
21.0,36,25,2260,25.1,1.0,1.31,0.6,45.5,0.03,0.07,19.9,0.16,0.0,0.0,36.3,49.3,73.6,770.7,253.5,14.3,17.0,84.5,14.0,17.2,81.5,7.49,13.2,56.8,0.28,2.27,4.46,1.55,0.16,5.9,49.3,44.2,5.06,1.71,0.12,3.63,1.55,2.67,1.47,0.72,0.04,0.4,36.3,0.28,1.55,4.1,2.67,0.8,0.16,0.12,0.24,0.12,0.52,0.4,0.08,0.0,0.0,0.04,0.0,1.91,1.35,1.04,0.68,0.2,0.6,2.67,22.4,2.07,1.63,0.12,1.51,2.15,4.06,0.6,0.04,62.0,1.12,11.6,34.3,20.7,2.27,57.2,43.2,240.4,124.0,6.14,1.91,0.6,1.83,2.59,43.6,3.67,0.2,0.0,0.0,1.08,1.31,0.16,1.55,1.35,0.0,0.0,0.0,6.41,0.96,0.8,54.5,2022-05-30,Defensive Midfield,9000000.0
25.0,12,4,443,4.9,0.0,0.41,0.41,100.0,0.0,0.0,20.8,0.0,0.0,0.0,44.1,49.6,88.9,740.0,189.0,21.2,22.2,95.4,17.1,19.0,90.3,3.67,5.51,66.7,0.0,1.22,2.04,1.02,0.2,3.27,49.6,46.5,3.06,1.43,0.0,2.04,0.41,1.43,0.0,0.82,0.0,0.2,44.1,0.2,0.82,1.84,1.43,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,1.63,1.22,1.43,0.41,1.02,2.04,50.0,1.02,1.02,0.0,1.02,1.02,4.08,0.61,0.0,57.6,2.65,13.1,32.4,13.7,1.22,54.7,38.8,150.0,70.2,2.24,0.2,0.0,0.61,1.43,40.4,1.63,0.2,0.0,0.0,2.86,0.82,0.0,0.41,1.63,0.0,0.0,0.0,6.73,1.22,1.63,42.9,2022-01-03,Defensive Midfield,3500000.0
20.0,3,0,61,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,48.6,88.2,810.0,122.9,18.6,21.4,86.7,12.9,14.3,90.0,8.57,10.0,85.7,0.0,0.0,0.0,0.0,0.0,1.43,48.6,47.1,1.43,1.43,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,1.43,2.86,0.0,2.86,0.0,0.0,2.86,0.0,55.7,0.0,8.57,40.0,10.0,0.0,55.7,48.6,232.9,104.3,4.29,0.0,0.0,0.0,1.43,45.7,1.43,0.0,0.0,0.0,2.86,1.43,0.0,0.0,0.0,0.0,0.0,0.0,4.29,1.43,4.29,25.0,2021-12-22,Defensive Midfield,1800000.0
28.0,25,11,1004,11.2,1.0,1.52,0.18,11.8,0.06,0.5,20.2,0.0,0.0,0.0,31.1,36.7,84.7,492.2,93.4,15.5,17.0,91.6,12.0,13.7,87.6,2.41,4.02,60.0,0.09,0.63,1.88,0.71,0.09,2.41,36.7,35.8,0.89,0.89,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,31.1,0.0,0.89,1.96,1.79,0.0,0.09,0.09,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,1.79,0.89,0.45,0.98,0.36,0.71,1.25,57.1,0.54,0.71,0.09,0.63,2.05,3.84,0.98,0.0,48.2,1.16,8.21,30.0,13.1,1.79,47.5,31.3,152.3,75.9,3.66,1.07,0.27,1.7,1.34,30.4,4.38,0.18,0.0,0.0,2.05,1.7,0.0,0.36,0.89,0.0,0.0,0.0,10.4,1.25,0.71,63.6,2022-05-30,Defensive Midfield,3000000.0
24.0,8,6,516,5.7,0.0,0.35,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,50.4,57.5,87.5,937.5,219.8,20.5,23.2,88.6,22.6,24.9,90.8,5.79,7.54,76.7,0.0,0.53,4.91,0.35,0.0,4.91,57.5,57.0,0.53,0.53,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,50.4,0.18,0.7,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,2.11,0.88,1.58,0.53,1.58,2.28,69.2,0.7,1.23,0.0,1.23,2.11,5.09,1.58,0.0,66.7,2.11,14.7,44.7,9.12,0.35,66.1,45.3,166.7,76.0,2.98,0.35,0.0,0.7,1.05,47.5,0.88,0.35,0.18,0.0,2.46,0.53,0.0,0.0,2.11,0.0,0.0,0.0,9.65,1.58,0.18,90.0,2022-03-21,Defensive Midfield,5000000.0
