Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%
55,Marc Albrighton,ENG,FWDF,Leicester City,Premier League,32.0,1989,17,11,1132,12.6,0.08,0.32,0.08,25.0,0.25,1.0,16.7,0.0,0.0,0.0,27.4,43.7,62.6,438.9,188.3,15.9,18.7,85.1,9.05,13.7,66.3,1.9,8.41,22.6,0.16,0.95,1.67,0.87,0.4,2.54,43.7,35.7,8.02,1.19,0.0,7.62,2.62,2.46,2.94,1.98,0.56,0.08,24.4,8.81,10.5,3.1,34.7,1.59,3.81,0.08,27.4,0.4,0.4,2.46,3.02,1.51,1.11,0.24,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.62,1.27,1.35,0.71,0.56,0.79,3.25,24.4,2.46,22.9,5.0,21.8,7.78,11.2,3.97,2.14,0.4,0.08,1.75,1.98,4.6,0.79,0.0,54.6,2.78,12.5,25.1,19.9,0.95,46.7,1.27,2.94,43.2,1.43,0.32,32.6,137.5,64.3,2.54,0.95,0.16,1.11,0.95,40.5,31.9,78.8,2.46,0.24,0.0,0.0,0.63,1.19,0.16,2.46,1.27,0.0,0.0,0.0,6.11,0.48,0.87,35.3,2021-12-23,2500000.0,,,,,
179,Dilane Bakwa,FRA,FWDF,Bordeaux,Ligue 1,19.0,2002,5,0,43,0.5,0.0,4.0,2.0,50.0,0.0,0.0,17.3,0.0,0.0,0.0,18.0,28.0,64.3,300.0,120.0,8.0,12.0,66.7,8.0,10.0,80.0,2.0,4.0,50.0,0.0,0.0,2.0,2.0,0.0,4.0,28.0,28.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,10.0,18.0,0.0,6.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,26.0,12.0,46.2,10.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,4.0,6.0,20.0,24.0,4.0,46.0,2.0,4.0,50.0,2.0,0.0,30.0,202.0,138.0,6.0,2.0,2.0,6.0,2.0,36.0,28.0,77.8,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,2.0,75.0,2022-05-30,400000.0,,,,,
239,Ihlas Bebou,TOG,FWDF,Hoffenheim,Bundesliga,28.0,1994,28,25,2091,23.2,0.3,1.94,0.6,31.1,0.16,0.5,12.0,0.0,0.0,0.0,19.7,27.2,72.3,302.9,96.8,10.6,13.6,78.4,6.51,8.88,73.3,1.42,2.24,63.5,0.09,0.82,0.69,1.42,0.47,2.07,27.2,24.3,2.93,0.04,0.0,5.95,0.52,2.03,0.0,0.0,0.0,0.0,15.4,7.28,4.53,2.07,19.1,1.29,2.5,0.73,19.7,0.0,0.56,1.51,1.51,2.28,1.81,0.04,0.13,0.22,0.09,0.0,0.26,0.13,0.0,0.04,0.09,0.0,0.0,1.08,0.78,0.3,0.47,0.3,0.17,0.6,28.6,0.43,16.3,5.04,31.0,2.33,6.03,7.89,1.03,0.13,0.0,0.91,0.47,1.55,0.91,0.0,39.4,1.21,5.09,15.6,20.8,4.66,36.5,0.86,1.98,43.5,1.08,0.04,24.4,106.6,57.9,3.19,0.86,0.73,2.8,1.85,42.9,27.2,63.4,6.34,0.0,0.0,0.0,1.42,0.99,0.47,2.03,0.78,0.0,0.0,0.0,4.61,1.98,3.71,34.8,2021-12-22,16000000.0,,,,,
256,Karim Bellarabi,GER,FWDF,Leverkusen,Bundesliga,32.0,1990,16,9,683,7.6,0.39,3.68,1.45,39.3,0.11,0.27,17.3,0.0,0.0,0.0,26.2,35.1,74.5,438.2,126.4,13.9,16.8,82.8,8.16,11.1,73.8,3.03,5.26,57.5,0.26,1.18,2.24,1.05,0.39,2.63,35.1,33.7,1.45,0.0,0.0,5.0,0.53,2.63,0.39,0.13,0.13,0.0,25.0,5.66,4.47,3.55,29.6,0.53,1.05,0.26,26.2,0.0,0.39,2.63,1.05,3.29,1.97,0.0,0.13,0.66,0.39,0.13,0.53,0.26,0.0,0.0,0.13,0.13,0.0,1.45,1.18,0.66,0.53,0.26,0.26,0.79,33.3,0.53,15.1,4.61,30.4,5.26,5.92,3.95,0.66,0.0,0.0,0.66,1.05,2.5,0.92,0.0,49.7,1.45,8.16,22.6,23.6,5.13,48.3,2.24,3.95,56.7,2.5,0.26,38.4,221.4,154.2,7.89,2.63,1.05,2.63,1.71,43.4,37.2,85.8,6.45,0.26,0.0,0.0,2.89,1.05,0.13,2.63,1.18,0.26,0.0,0.0,5.0,0.26,0.39,40.0,2021-12-22,3500000.0,,,,,
278,Keanan Bennetts,ENG,FWDF,M'Gladbach,Bundesliga,23.0,1999,4,0,50,0.6,0.0,1.67,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,28.3,38.3,73.9,556.7,48.3,13.3,18.3,72.7,10.0,11.7,85.7,5.0,6.67,75.0,0.0,0.0,1.67,0.0,0.0,1.67,38.3,35.0,3.33,0.0,0.0,8.33,3.33,3.33,0.0,0.0,0.0,0.0,30.0,5.0,3.33,16.7,16.7,0.0,3.33,0.0,28.3,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.67,0.0,1.67,1.67,100.0,0.0,18.3,5.0,27.3,3.33,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,56.7,0.0,6.67,30.0,23.3,6.67,53.3,8.33,11.7,71.4,8.33,0.0,51.7,341.7,138.3,6.67,1.67,1.67,6.67,1.67,46.7,38.3,82.1,6.67,1.67,0.0,0.0,5.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,10.0,1.67,1.67,50.0,2021-12-22,1300000.0,,,,,
549,Marcus Coco,FRA,FWDF,Nantes,Ligue 1,25.0,1996,24,9,930,10.3,0.1,1.07,0.19,18.2,0.09,0.5,16.1,0.0,0.0,0.0,22.5,32.1,70.1,343.0,135.5,12.6,15.7,80.2,8.16,11.3,72.4,1.36,3.59,37.8,0.1,0.58,1.46,0.87,0.49,2.43,32.1,29.6,2.52,0.58,0.1,6.41,0.29,1.94,0.1,0.0,0.1,0.0,19.8,6.6,5.73,3.69,22.8,1.36,1.75,0.1,22.5,0.1,1.17,2.04,1.07,1.46,0.97,0.0,0.0,0.19,0.19,0.1,0.19,0.19,0.0,0.0,0.0,0.0,0.0,3.11,1.94,1.65,0.97,0.49,0.68,1.84,36.8,1.17,25.9,6.8,26.2,9.81,10.7,5.44,1.55,0.1,0.0,1.46,2.33,5.44,0.87,0.0,48.9,2.23,12.4,21.9,18.1,2.33,46.7,1.07,2.43,44.0,1.26,0.19,29.7,162.0,99.8,4.76,1.17,0.78,2.91,1.94,41.6,29.9,72.0,4.37,0.29,0.1,0.1,2.04,2.91,0.39,1.94,1.94,0.0,0.0,0.0,7.48,3.11,3.2,49.2,2022-05-30,2000000.0,,,,,
556,Kingsley Coman,FRA,FWDF,Bayern Munich,Bundesliga,25.0,1996,21,16,1359,15.1,0.4,3.05,1.32,43.5,0.13,0.3,16.9,0.0,0.0,0.0,37.2,47.4,78.4,675.9,153.0,16.1,19.1,84.4,16.1,20.0,80.5,4.11,6.16,66.7,0.13,1.72,1.19,2.72,1.26,3.71,47.4,45.5,1.92,0.13,0.2,9.14,1.46,5.23,0.46,0.26,0.0,0.0,33.4,6.29,7.68,8.28,36.0,1.06,1.32,0.07,37.2,0.07,0.6,2.19,1.72,3.38,2.65,0.13,0.2,0.13,0.13,0.13,0.26,0.26,0.0,0.0,0.0,0.0,0.0,1.06,0.6,0.13,0.53,0.4,0.26,0.79,33.3,0.53,13.4,3.84,28.7,2.52,5.17,5.7,1.52,0.0,0.0,1.52,0.99,2.05,0.33,0.0,62.6,0.93,5.56,23.1,39.1,8.08,60.9,2.72,4.7,57.7,2.85,0.2,50.5,275.0,159.5,10.1,2.45,2.32,1.85,2.91,59.5,49.7,83.6,10.7,0.07,0.07,0.0,0.73,1.59,0.33,5.23,0.6,0.0,0.0,0.0,6.09,0.73,1.26,36.7,2022-03-24,60000000.0,,,,,
606,Marc Cucurella,ESP,FWDF,Getafe,La Liga,23.0,1998,1,0,23,0.3,0.0,3.33,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,50.0,70.0,71.4,676.7,116.7,33.3,36.7,90.9,13.3,16.7,80.0,0.0,10.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,70.0,60.0,10.0,3.33,0.0,6.67,0.0,3.33,6.67,3.33,3.33,0.0,50.0,0.0,20.0,53.3,16.7,0.0,0.0,0.0,50.0,0.0,3.33,0.0,3.33,13.3,3.33,3.33,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,100.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,6.67,10.0,0.0,0.0,80.0,0.0,6.67,20.0,60.0,6.67,70.0,3.33,3.33,100.0,3.33,0.0,60.0,500.0,353.3,13.3,6.67,3.33,0.0,0.0,53.3,43.3,81.3,6.67,0.0,0.0,0.0,0.0,3.33,0.0,3.33,3.33,0.0,0.0,0.0,13.3,0.0,0.0,0.0,2021-12-23,20000000.0,,,,,
1013,Serge Gnabry,GER,FWDF,Bayern Munich,Bundesliga,26.0,1995,34,25,2185,24.3,0.58,2.8,1.07,38.2,0.21,0.54,16.1,0.0,0.0,0.0,44.0,55.7,79.0,699.5,196.4,23.7,28.0,84.9,16.7,20.4,81.7,2.92,5.27,55.5,0.21,1.98,2.47,2.8,0.62,5.27,55.7,52.2,3.5,0.45,0.21,8.23,1.03,3.17,0.82,0.29,0.41,0.0,41.7,7.28,6.75,12.2,39.4,1.44,2.18,0.29,44.0,0.21,0.58,3.99,1.48,4.36,3.42,0.08,0.33,0.25,0.12,0.16,0.66,0.49,0.0,0.08,0.04,0.04,0.0,2.06,1.4,0.62,0.86,0.58,0.86,2.14,40.4,1.28,16.5,6.05,36.7,3.46,6.75,6.3,1.23,0.0,0.0,1.23,1.07,3.13,0.08,0.0,68.3,0.58,7.37,31.2,34.9,6.54,65.1,2.67,4.16,64.4,2.84,0.08,52.3,273.0,159.2,9.38,3.33,1.65,2.63,1.4,64.2,52.6,81.9,8.52,0.0,0.0,0.0,0.53,0.99,0.62,3.17,1.4,0.0,0.0,0.0,7.28,0.25,1.4,15.0,2021-12-22,70000000.0,,,,,
1116,Emmanuel Gyasi,GHA,FWDF,Spezia,Serie A,28.0,1994,36,35,3035,33.7,0.18,1.16,0.42,35.9,0.15,0.43,14.4,0.0,0.0,0.0,23.0,28.0,82.3,323.3,70.2,13.7,15.6,87.9,6.91,8.37,82.6,1.22,1.66,73.2,0.0,0.62,0.68,0.53,0.12,1.45,28.0,27.0,0.98,0.03,0.06,6.5,0.09,0.71,0.0,0.0,0.0,0.0,22.0,3.68,2.26,3.95,21.9,0.74,0.53,0.21,23.0,0.06,0.3,1.34,0.92,1.48,1.19,0.0,0.03,0.09,0.09,0.09,0.18,0.12,0.0,0.0,0.03,0.0,0.03,1.72,1.01,1.19,0.24,0.3,0.65,1.36,47.8,0.71,12.8,3.59,27.9,4.33,5.13,3.38,1.07,0.12,0.0,0.95,0.83,2.55,1.07,0.03,39.2,2.08,8.72,18.2,15.2,3.03,38.3,0.98,1.69,57.9,1.07,0.21,29.1,141.5,58.3,2.7,0.92,0.5,2.11,1.69,38.5,26.8,69.5,3.77,0.3,0.0,0.0,1.72,1.63,0.62,0.71,1.01,0.0,0.03,0.03,6.05,0.98,2.85,25.6,2021-12-28,2500000.0,,,,,
