Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation
5,Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,22.0,2000,1,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,33.3,48.0,0.0,2.0,4.0,50.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,10.0,18.0,6.0,24.0,18.0,118.0,18.0,0.0,2.0,0.0,8.0,0.0,16.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,2022-03-24,2000000.0
6,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23.0,1998,24,5,726,8.1,0.0,2.22,0.49,22.2,0.0,0.0,15.6,0.0,0.0,0.0,11.1,17.2,64.7,160.0,40.7,6.67,9.63,69.2,3.09,4.69,65.8,0.62,1.23,50.0,0.12,0.99,0.86,0.74,0.0,1.6,17.2,16.0,1.11,0.12,0.12,0.25,0.25,0.0,0.0,0.0,0.0,0.0,11.1,0.25,1.11,2.47,1.48,0.0,0.0,0.12,0.25,0.62,0.25,0.12,0.0,0.0,0.12,0.0,0.0,1.73,0.86,0.37,0.86,0.49,0.25,1.36,18.2,1.11,1.23,0.37,0.86,0.99,2.72,0.86,0.0,33.0,1.11,3.46,15.6,15.6,3.83,31.9,19.0,74.7,40.2,2.59,0.99,0.86,5.06,1.36,21.1,5.93,0.37,0.0,0.0,2.22,1.48,1.85,0.25,0.86,0.0,0.0,0.0,4.81,2.72,4.94,35.5,2021-12-22,900000.0
7,Matthis Abline,FRA,FW,Rennes,Ligue 1,19.0,2003,7,1,103,1.1,0.0,1.82,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,7.27,9.09,80.0,90.9,20.0,3.64,5.45,66.7,3.64,3.64,100.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.0,0.91,9.09,9.09,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,7.27,0.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.91,1.82,0.0,1.82,0.91,0.91,0.91,0.0,22.7,1.82,1.82,10.0,10.9,2.73,22.7,16.4,61.8,31.8,2.73,0.0,0.0,1.82,4.55,11.8,7.27,0.0,0.0,0.0,1.82,0.91,0.0,0.91,0.0,0.0,0.0,0.0,6.36,0.0,1.82,0.0,2021-12-16,2000000.0
8,Tammy Abraham,ENG,FW,Roma,Serie A,24.0,1997,37,36,3084,34.3,0.5,2.71,0.93,34.4,0.15,0.44,12.2,0.06,0.09,0.09,14.6,20.2,72.0,224.9,51.2,8.69,11.4,76.2,4.05,5.86,69.2,1.28,1.6,80.0,0.12,1.02,1.08,0.82,0.12,1.78,20.2,18.3,1.98,0.17,0.15,0.32,0.7,0.0,0.0,0.0,0.0,0.03,14.6,0.0,0.7,2.33,1.63,0.03,0.03,0.38,0.17,0.09,0.35,0.15,0.0,0.03,0.09,0.09,0.0,0.99,0.64,0.29,0.44,0.26,0.29,0.67,43.5,0.38,0.96,0.32,0.64,0.44,1.43,0.9,0.0,32.4,0.96,2.54,16.3,15.2,5.86,30.4,18.0,76.8,39.4,2.45,0.82,0.67,2.39,1.28,22.4,6.71,0.26,0.0,0.0,1.25,1.46,0.5,0.7,0.64,0.03,0.03,0.0,3.67,2.39,2.89,45.3,2022-03-15,45000000.0
37,Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,28.0,1994,36,31,2738,30.4,0.39,1.94,0.79,40.7,0.15,0.38,13.1,0.0,0.1,0.1,22.0,29.9,73.7,334.2,44.9,12.6,15.9,79.7,6.28,8.59,73.2,1.78,2.63,67.5,0.26,1.25,0.95,0.89,0.16,1.51,29.9,29.2,0.69,0.0,0.03,0.56,0.59,0.0,0.0,0.0,0.0,0.07,22.0,0.03,1.05,2.47,1.81,0.0,0.07,0.23,0.3,0.07,0.3,0.2,0.0,0.0,0.07,0.03,0.0,1.51,0.82,0.13,0.76,0.63,0.26,1.32,20.0,1.05,0.79,0.16,0.63,0.49,2.01,1.05,0.03,41.5,1.22,3.75,21.9,17.3,5.07,40.8,21.1,72.2,31.1,1.58,0.69,0.23,2.63,1.48,32.2,8.45,0.16,0.03,0.0,1.32,1.22,0.46,0.59,0.82,0.07,0.0,0.03,3.75,5.07,3.95,56.2,2022-05-30,16000000.0
42,Ilias Akhomach,ESP,FW,Barcelona,La Liga,18.0,2004,2,2,124,1.4,0.0,2.86,1.43,50.0,0.0,0.0,21.4,0.0,0.0,0.0,32.1,37.9,84.9,446.4,137.9,25.0,25.7,97.2,5.71,7.14,80.0,1.43,3.57,40.0,0.0,2.14,2.14,3.57,0.71,4.29,37.9,37.9,0.0,0.0,0.0,0.71,3.57,0.0,0.0,0.0,0.0,0.0,32.1,0.0,1.43,5.0,2.86,0.0,0.71,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.0,1.43,0.0,0.0,50.7,0.0,5.0,14.3,35.7,5.71,50.7,45.0,195.7,120.7,8.57,1.43,2.14,0.0,2.14,40.0,2.86,0.0,0.0,0.0,2.86,3.57,0.0,3.57,0.0,0.0,0.0,0.0,7.14,0.0,1.43,0.0,2021-12-30,3000000.0
50,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,29.0,1992,27,5,655,7.3,0.82,3.15,1.78,56.5,0.26,0.46,11.2,0.0,0.0,0.14,14.5,21.2,68.4,194.1,31.5,9.04,12.6,71.7,4.52,5.89,76.7,0.27,0.96,28.6,0.0,0.96,0.14,0.27,0.0,0.96,21.2,20.1,1.1,0.0,0.14,0.14,0.41,0.0,0.0,0.0,0.0,0.27,14.5,0.0,0.55,3.42,2.19,0.0,0.68,0.14,0.41,0.0,0.55,0.41,0.0,0.14,0.0,0.0,0.0,0.68,0.55,0.0,0.55,0.14,0.27,0.41,66.7,0.14,0.96,0.0,0.96,0.41,1.1,0.82,0.0,34.5,0.96,3.15,14.9,18.5,7.4,33.4,22.5,90.1,38.8,2.05,0.96,0.55,3.29,2.19,26.8,7.53,0.27,0.0,0.0,1.1,1.51,0.96,0.41,0.55,0.14,0.0,0.0,3.42,2.74,4.79,36.4,2021-12-22,10000000.0
68,Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,27.0,1995,30,13,1488,16.5,0.06,2.55,0.91,35.7,0.02,0.07,18.7,0.06,0.0,0.0,25.1,33.3,75.3,397.6,79.7,13.6,16.4,83.0,8.48,11.1,76.5,2.12,3.58,59.3,0.12,0.79,2.36,0.73,0.18,2.36,33.3,32.3,1.03,0.24,0.06,1.03,1.88,0.55,0.3,0.06,0.0,0.24,25.1,0.24,1.39,2.73,1.64,0.18,0.48,0.18,0.12,0.12,0.18,0.12,0.0,0.0,0.06,0.0,0.0,1.45,0.91,0.42,0.67,0.36,0.42,1.03,41.2,0.61,0.79,0.12,0.67,0.61,2.06,0.18,0.0,48.4,0.67,8.0,24.4,21.8,4.97,47.5,39.2,281.3,164.6,7.76,2.85,1.15,2.3,3.03,37.7,6.0,0.06,0.0,0.0,1.09,2.36,0.12,1.88,0.91,0.0,0.06,0.0,5.27,1.03,1.45,41.5,2022-05-30,2000000.0
91,Felipe Anderson,BRA,FW,Lazio,Serie A,29.0,1993,38,33,2888,32.1,0.19,1.37,0.5,36.4,0.14,0.38,15.8,0.0,0.0,0.0,34.5,44.4,77.8,532.9,142.1,19.9,23.2,86.0,11.3,14.4,78.5,2.43,4.11,59.1,0.25,1.62,1.62,1.99,0.37,3.83,44.4,41.9,2.46,0.25,0.06,0.9,2.21,0.4,0.25,0.06,0.03,0.81,34.5,0.09,1.65,3.18,2.49,0.09,0.22,0.09,0.28,0.0,0.53,0.34,0.0,0.12,0.06,0.0,0.0,2.55,1.56,1.06,1.03,0.47,0.87,2.87,30.4,1.99,2.02,0.16,1.87,1.15,3.71,0.5,0.03,57.7,1.12,7.13,27.3,27.8,4.33,55.3,42.0,224.1,150.2,7.82,2.46,1.5,1.74,2.06,42.1,5.23,0.06,0.0,0.0,1.37,1.25,0.22,2.21,1.56,0.0,0.0,0.0,5.95,0.56,0.9,38.3,2022-03-15,13000000.0
92,Sebastian Andersson,SWE,FW,Köln,Bundesliga,30.0,1991,26,13,1257,14.0,0.21,2.5,0.93,37.1,0.09,0.23,11.3,0.0,0.0,0.0,12.0,18.1,66.4,145.6,27.4,7.71,10.5,73.5,2.57,4.57,56.3,0.21,0.5,42.9,0.07,0.71,0.21,0.36,0.07,0.64,18.1,17.3,0.79,0.0,0.0,0.07,1.07,0.0,0.0,0.0,0.0,0.07,12.0,0.0,1.0,1.57,1.29,0.0,0.0,0.07,0.14,0.07,0.29,0.21,0.0,0.0,0.0,0.07,0.0,0.93,0.64,0.07,0.29,0.57,0.5,0.79,63.6,0.29,0.5,0.0,0.5,0.21,1.14,0.64,0.0,30.6,0.64,1.71,12.6,17.2,5.79,29.8,17.2,57.3,20.7,1.07,0.36,0.21,3.71,1.86,23.2,6.79,0.21,0.0,0.0,1.93,1.21,0.43,1.07,0.64,0.0,0.0,0.0,3.07,3.71,6.0,38.2,2021-12-22,3000000.0
