Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%
23,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21.0,2000,4,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,20.5,74.4,423.8,259.3,3.5,3.5,100.0,7.5,7.5,100.0,4.0,9.25,43.2,0.0,0.0,0.25,0.0,0.0,0.0,20.5,12.0,8.5,2.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,12.0,0.25,8.25,7.5,9.0,0.0,0.0,2.5,15.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,23.8,18.8,23.8,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,9.5,39.8,18.8,0.0,0.0,0.0,0.0,0.0,6.5,6.25,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,2021-12-30,5000000.0,,,,,
66,Alisson,BRA,GK,Liverpool,Premier League,29.0,1992,36,36,3240,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,37.8,86.6,880.7,486.7,5.03,5.11,98.4,18.2,18.4,98.9,9.39,14.2,66.3,0.03,0.06,0.36,0.0,0.0,0.0,37.8,31.3,6.47,1.72,0.06,2.67,1.03,0.0,0.0,0.0,0.0,0.0,26.9,1.89,8.97,2.78,28.6,0.08,0.0,5.42,32.7,0.0,0.5,0.53,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.17,0.08,50.0,0.17,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.06,40.6,30.5,40.3,0.42,0.0,0.0,34.2,0.06,0.08,66.7,0.06,0.0,23.1,81.8,44.9,0.0,0.0,0.0,0.03,0.0,23.2,23.0,99.3,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.03,6.22,0.0,0.0,0.0,2021-12-23,60000000.0,,,,,
116,Alphonse Areola,FRA,GK,West Ham,Premier League,29.0,1993,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,48.8,768.0,546.0,0.0,0.0,0.0,9.0,9.0,100.0,11.0,32.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,17.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,29.0,2.0,35.0,0.0,0.0,3.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,40.0,42.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,17.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2022-03-29,9000000.0,,,,,
124,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27.0,1994,4,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,34.8,82.7,690.8,323.5,7.0,7.0,100.0,14.8,14.8,100.0,6.75,12.8,52.9,0.0,0.0,0.25,0.0,0.0,0.0,34.8,27.5,7.25,2.0,0.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,23.8,1.75,9.25,3.25,24.0,0.0,0.0,7.0,28.8,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3,32.5,37.3,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,21.3,63.3,29.3,0.0,0.0,0.0,0.0,0.0,20.3,20.3,100.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2021-12-23,10000000.0,,,,,
130,Sergio Asenjo,ESP,GK,Villarreal,La Liga,32.0,1989,6,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,37.0,82.4,819.8,450.0,5.67,5.67,100.0,14.8,15.0,98.9,10.0,16.2,61.9,0.0,0.0,0.17,0.0,0.0,0.0,37.0,27.2,9.83,0.5,0.0,2.0,0.83,0.0,0.0,0.0,0.0,0.0,25.2,2.5,9.33,5.67,23.7,0.5,0.0,6.5,30.5,0.17,1.0,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,35.7,40.8,0.17,0.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,21.7,90.7,49.5,0.0,0.0,0.0,0.0,0.0,18.5,18.3,99.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,2021-12-30,5000000.0,,,,,
143,Emil Audero,ITA,GK,Sampdoria,Serie A,25.0,1997,29,29,2560,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,35.2,69.4,825.2,526.2,3.63,3.63,100.0,9.08,9.3,97.7,11.7,22.2,52.5,0.0,0.07,0.63,0.0,0.0,0.0,35.2,24.6,10.5,2.96,0.04,3.13,0.49,0.0,0.0,0.0,0.0,0.0,15.5,1.55,18.1,3.45,26.5,0.0,0.04,4.15,24.4,0.25,0.63,0.28,0.04,0.18,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.18,0.04,20.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,34.8,38.0,0.14,0.0,0.0,27.7,0.0,0.0,0.0,0.0,0.0,19.2,92.5,49.3,0.0,0.0,0.0,0.0,0.0,18.1,18.0,99.6,0.0,0.07,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,2022-03-15,7000000.0,,,,,
159,Daniel Bachmann,AUT,GK,Watford,Premier League,27.0,1994,12,12,1080,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,29.8,59.1,679.3,471.3,1.75,1.75,100.0,6.58,6.83,96.3,9.25,21.2,43.7,0.0,0.0,0.75,0.0,0.0,0.0,29.8,19.5,10.3,3.0,0.0,1.58,0.67,0.0,0.0,0.0,0.0,0.0,9.58,1.33,18.8,1.67,21.8,0.0,0.0,3.67,17.6,0.17,1.17,0.33,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,28.2,32.7,0.25,0.0,0.0,22.7,0.08,0.08,100.0,0.08,0.0,14.2,77.2,48.9,0.0,0.0,0.0,0.0,0.0,12.2,12.1,99.3,0.0,0.0,0.0,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.08,0.0,4.75,0.0,0.0,0.0,2021-12-23,3000000.0,,,,,
172,Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,20.0,2001,7,4,510,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,32.5,70.3,662.6,455.1,6.14,6.32,97.2,8.25,8.25,100.0,8.25,17.7,46.5,0.0,0.0,0.18,0.0,0.0,0.0,32.5,22.1,10.4,2.63,0.0,2.11,0.53,0.0,0.0,0.0,0.0,0.0,16.8,0.7,14.9,1.58,23.3,0.0,0.0,6.84,22.8,0.18,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,30.5,35.8,0.35,0.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,16.3,75.6,40.2,0.0,0.0,0.0,0.0,0.0,12.5,12.3,98.6,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0,0.0,2021-12-16,2000000.0,,,,,
204,Francesco Bardi,ITA,GK,Bologna,Serie A,30.0,1992,2,2,177,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0,68.0,453.0,263.5,5.0,5.0,100.0,5.5,5.5,100.0,6.0,14.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.5,9.5,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,11.5,2.5,19.0,0.0,0.0,3.0,17.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,25.0,27.5,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,10.5,52.0,12.5,0.0,0.0,0.0,0.0,0.0,12.0,11.5,95.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2021-12-28,700000.0,,,,,
230,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,31.0,1990,33,33,2970,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7,46.1,79.6,921.1,493.3,9.73,9.82,99.1,16.6,16.8,98.9,9.76,18.9,51.7,0.0,0.0,0.58,0.0,0.0,0.0,46.1,37.5,8.55,2.15,0.0,4.42,1.03,0.0,0.0,0.0,0.0,0.0,30.8,1.45,13.8,8.18,31.4,0.03,0.0,5.15,36.7,0.15,1.24,0.33,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.18,0.09,50.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,48.6,40.3,48.2,0.67,0.0,0.0,40.2,0.03,0.03,100.0,0.03,0.0,28.5,115.1,54.3,0.0,0.0,0.0,0.0,0.0,28.1,27.9,99.5,0.0,0.03,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,2021-12-22,5000000.0,,,,,
