Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation
88,Ethan Ampadu,WAL,MFDF,Venezia,Serie A,21.0,2000,29,26,2282,25.4,0.0,0.28,0.04,14.3,0.0,0.0,18.5,0.0,0.0,0.0,34.1,45.4,75.0,687.5,260.1,12.4,15.0,82.9,15.8,18.8,83.9,5.39,10.1,53.3,0.12,0.55,3.15,0.51,0.2,3.74,45.4,40.9,4.53,1.57,0.08,0.98,0.75,0.0,0.0,0.0,0.0,2.87,34.1,0.24,0.98,1.42,1.34,0.04,0.04,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.99,1.69,1.73,0.98,0.28,0.79,1.77,44.4,0.98,2.4,0.83,1.57,2.17,5.16,2.99,0.0,57.0,5.51,23.6,28.5,7.87,0.51,52.8,29.4,162.4,83.7,2.8,0.98,0.16,0.35,0.67,30.1,0.63,0.51,0.08,0.04,2.13,1.26,0.0,0.75,1.69,0.0,0.0,0.0,10.4,2.68,1.5,64.2,2021-12-28,15000000.0
127,Santiago Arzamendia,PAR,MFDF,Cádiz,La Liga,24.0,1998,14,5,469,5.2,0.19,1.15,0.19,16.7,0.17,1.0,35.6,0.0,0.0,0.0,21.0,32.7,64.1,346.3,99.2,9.81,12.1,81.0,8.27,11.2,74.1,1.73,7.12,24.3,0.0,0.19,0.77,0.77,0.58,0.96,32.7,28.3,4.42,0.77,0.0,1.54,2.5,0.96,0.38,0.38,0.19,2.69,21.0,0.77,0.96,0.77,0.58,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,2.31,1.73,0.77,0.19,1.35,3.08,43.8,1.73,1.73,0.0,1.73,1.54,4.23,2.88,0.0,45.8,2.88,15.2,18.8,14.8,0.58,41.7,25.2,118.3,68.5,2.31,1.15,0.0,1.54,1.54,23.7,2.31,0.38,0.0,0.0,1.54,1.54,0.19,2.5,2.31,0.0,0.0,0.0,8.46,3.65,2.88,55.9,2022-03-21,2000000.0
226,Simone Bastoni,ITA,MFDF,Spezia,Serie A,25.0,1996,31,26,2288,25.4,0.12,1.1,0.24,21.4,0.11,0.5,22.8,0.0,0.0,0.0,35.0,47.6,73.4,657.4,269.6,15.8,18.1,87.2,13.3,16.5,81.1,4.92,10.5,47.0,0.12,1.77,3.23,1.18,0.51,3.62,47.6,39.8,7.8,2.28,0.04,2.17,2.32,1.46,0.51,0.79,0.0,4.06,35.0,0.28,1.81,2.87,1.81,0.75,0.08,0.08,0.08,0.08,0.2,0.12,0.04,0.0,0.04,0.0,0.0,2.36,1.42,1.14,0.87,0.35,0.98,2.2,44.6,1.22,2.05,0.43,1.61,2.24,4.61,1.18,0.0,60.3,2.68,16.6,29.7,18.4,1.5,52.8,37.2,203.6,111.7,4.96,1.61,0.31,1.34,1.57,34.8,2.6,0.2,0.04,0.0,1.69,1.61,0.04,2.32,1.42,0.0,0.0,0.0,8.82,1.06,0.75,58.7,2021-12-28,5000000.0
440,Mahdi Camara,FRA,MFDF,Saint-Étienne,Ligue 1,23.0,1998,35,34,3073,34.1,0.09,0.85,0.44,51.7,0.1,0.2,17.7,0.0,0.0,0.0,37.5,44.6,84.1,598.8,161.4,19.4,21.5,90.1,14.0,16.0,87.0,2.76,4.52,61.0,0.0,0.91,2.93,0.32,0.15,2.35,44.6,41.5,3.05,0.67,0.06,0.62,0.85,0.0,0.0,0.0,0.0,2.2,37.5,0.06,0.94,2.05,1.41,0.18,0.18,0.03,0.21,0.06,0.15,0.09,0.0,0.0,0.0,0.06,0.0,2.99,1.73,1.14,1.52,0.32,0.82,1.99,41.2,1.17,1.64,0.32,1.32,2.02,5.01,1.23,0.03,56.7,1.82,14.7,33.1,13.2,1.26,53.7,36.6,180.2,98.7,4.43,1.55,0.12,0.85,1.17,35.6,1.5,0.23,0.0,0.0,1.35,1.38,0.03,0.85,1.73,0.06,0.0,0.0,8.8,1.09,1.47,42.5,2022-05-30,6000000.0
450,Matteo Cancellieri,ITA,MFDF,Hellas Verona,Serie A,20.0,2002,12,1,227,2.5,0.4,1.6,0.4,25.0,0.25,1.0,20.4,0.0,0.0,0.0,18.8,27.2,69.1,277.6,90.8,12.0,14.8,81.1,4.4,8.0,55.0,2.4,3.2,75.0,0.0,1.6,2.0,1.2,0.0,1.6,27.2,24.0,3.2,0.4,0.0,0.4,2.4,0.0,0.0,0.0,0.0,2.8,18.8,0.0,1.6,3.2,2.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,1.2,0.4,0.4,0.4,2.0,20.0,1.6,1.2,0.0,1.2,1.2,3.2,0.0,0.0,40.0,0.4,4.8,18.4,20.8,3.6,36.8,29.6,194.4,108.4,4.8,1.6,0.8,3.6,1.6,25.2,2.8,0.4,0.0,0.0,3.6,1.2,0.4,2.4,1.6,0.0,0.0,0.0,7.2,2.8,5.2,35.0,2021-12-28,1000000.0
458,Pierrick Capelle,FRA,MFDF,Angers,Ligue 1,35.0,1987,30,12,1193,13.3,0.0,1.28,0.08,5.9,0.0,0.0,19.0,0.0,0.0,0.0,34.8,42.2,82.5,632.6,176.8,14.5,16.7,86.9,15.9,18.3,86.8,3.68,5.34,69.0,0.08,0.9,2.18,0.23,0.15,2.41,42.2,38.0,4.21,0.53,0.0,1.5,0.68,0.45,0.3,0.08,0.0,3.16,34.8,0.15,1.13,2.11,1.13,0.38,0.0,0.38,0.15,0.08,0.3,0.0,0.0,0.0,0.15,0.15,0.0,2.71,2.11,1.2,1.05,0.45,1.05,2.93,35.9,1.88,1.5,0.08,1.43,2.48,5.19,1.28,0.0,55.7,3.46,15.3,28.5,14.9,1.95,51.5,34.7,177.9,81.1,3.08,1.28,0.38,1.65,2.48,33.2,2.93,0.08,0.0,0.0,1.65,0.53,0.0,0.68,2.11,0.08,0.08,0.0,9.1,1.5,2.33,39.2,2022-05-30,500000.0
507,Nassim Chadli,FRA,MFDF,Troyes,Ligue 1,20.0,2001,8,1,96,1.1,0.0,1.82,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,24.5,39.1,62.8,382.7,107.3,13.6,16.4,83.3,8.18,13.6,60.0,2.73,7.27,37.5,0.0,0.91,2.73,0.0,0.0,1.82,39.1,31.8,7.27,1.82,0.0,1.82,2.73,0.91,0.91,0.0,0.0,4.55,24.5,0.0,2.73,2.73,1.82,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,1.82,0.0,0.91,1.82,2.73,66.7,0.91,1.82,0.0,1.82,2.73,5.45,0.91,0.0,68.2,0.0,18.2,19.1,40.0,3.64,60.9,46.4,196.4,150.0,7.27,4.55,0.91,4.55,6.36,40.0,6.36,0.91,0.0,0.0,3.64,1.82,0.0,2.73,2.73,0.0,0.0,0.0,10.0,1.82,1.82,50.0,2022-05-30,500000.0
517,Xavier Chavalerin,FRA,MFDF,Reims,Ligue 1,31.0,1991,3,2,220,2.4,0.0,1.25,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,33.3,40.8,81.6,618.3,201.3,15.4,17.1,90.2,12.1,14.6,82.9,4.17,6.25,66.7,0.0,1.25,0.83,1.25,0.42,2.5,40.8,35.8,5.0,1.25,0.0,2.5,2.08,0.0,0.0,0.0,0.0,3.75,33.3,0.0,1.25,2.08,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.83,0.83,0.42,0.42,0.42,1.25,33.3,0.83,0.83,0.0,0.83,2.92,4.58,1.67,0.42,48.8,3.33,14.2,24.6,14.2,2.5,43.8,24.2,125.4,48.3,1.25,1.67,0.0,0.0,0.42,28.3,1.67,0.0,0.0,0.0,1.25,0.0,0.0,2.08,0.83,0.0,0.0,0.0,7.92,0.83,2.08,28.6,2022-05-30,3500000.0
537,Riccardo Ciervo,ITA,MFDF,Sampdoria,Serie A,20.0,2002,10,1,227,2.5,0.0,1.2,0.4,33.3,0.0,0.0,22.3,0.0,0.0,0.0,20.8,29.2,71.2,396.4,90.4,7.6,10.0,76.0,8.8,12.0,73.3,3.2,4.8,66.7,0.4,1.6,1.6,0.4,0.4,1.2,29.2,27.2,2.0,0.4,0.0,1.2,3.6,0.4,0.4,0.0,0.0,1.2,20.8,0.4,2.0,3.2,2.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.0,1.2,1.2,0.4,0.4,2.0,20.0,1.6,0.8,0.0,0.8,2.0,4.8,0.8,0.0,38.0,0.8,7.6,16.0,18.4,3.2,36.0,26.0,228.4,130.8,7.2,2.0,0.8,0.8,1.2,23.6,4.8,0.0,0.0,0.0,1.2,0.4,0.0,3.6,2.0,0.0,0.0,0.0,5.6,0.0,1.2,0.0,2022-03-15,1500000.0
679,Fabio Depaoli,ITA,MFDF,Sampdoria,Serie A,25.0,1997,6,1,112,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,27.5,66.7,334.2,127.5,8.33,8.33,100.0,7.5,9.17,81.8,2.5,5.0,50.0,0.0,0.0,2.5,0.0,0.0,3.33,27.5,25.0,2.5,0.83,0.0,0.83,1.67,0.0,0.0,0.0,0.0,1.67,18.3,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.67,0.83,0.0,0.0,0.83,0.0,0.83,1.67,0.83,0.83,1.67,4.17,0.83,0.0,40.8,1.67,10.8,18.3,15.0,1.67,39.2,25.0,93.3,45.8,2.5,0.83,0.0,1.67,1.67,24.2,2.5,0.83,0.0,0.0,6.67,0.83,0.0,1.67,0.0,0.0,0.0,0.0,5.83,0.83,2.5,25.0,2021-12-28,2500000.0
