Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%
11,Ragnar Ache,GER,MFFW,Eint Frankfurt,Bundesliga,23.0,1998,13,1,259,2.9,0.0,3.79,0.69,18.2,0.0,0.0,15.8,0.0,0.0,0.0,14.5,24.5,59.2,209.3,43.8,7.59,12.1,62.9,5.86,9.31,63.0,0.34,1.03,33.3,0.34,0.69,1.03,0.69,0.69,1.03,24.5,23.8,0.69,0.0,0.0,8.97,0.34,2.07,0.0,0.0,0.0,0.0,12.1,6.21,6.21,4.14,12.1,1.72,0.69,0.34,14.5,0.34,0.69,1.38,1.72,1.72,1.03,0.0,0.34,0.34,0.0,0.0,0.34,0.0,0.0,0.0,0.34,0.0,0.0,0.69,0.69,0.0,0.34,0.34,0.69,1.03,66.7,0.34,23.8,6.9,29.0,1.72,10.0,12.1,1.03,0.0,0.0,1.03,0.0,0.69,0.34,0.0,44.8,0.34,2.76,20.3,24.8,6.21,44.5,1.38,2.76,50.0,1.72,0.0,26.9,150.7,96.2,5.52,2.07,1.72,5.52,2.76,57.2,34.8,60.8,10.7,0.0,0.0,0.0,2.07,2.76,2.07,2.07,0.69,0.0,0.0,0.0,5.17,6.9,3.79,64.5,2021-12-22,1800000.0,,,,,
17,Martin Adeline,FRA,MFFW,Reims,Ligue 1,18.0,2003,8,2,352,3.9,0.0,1.03,0.26,25.0,0.0,0.0,10.8,0.0,0.0,0.0,27.4,37.4,73.3,473.6,142.3,11.3,14.1,80.0,12.3,15.4,80.0,2.31,3.85,60.0,0.0,0.77,2.56,0.51,0.0,2.82,37.4,35.9,1.54,0.51,0.0,12.6,0.26,0.51,1.03,0.0,1.03,0.0,29.7,2.56,5.13,6.41,29.7,0.77,0.0,0.0,27.4,0.26,2.05,3.08,2.05,2.05,1.79,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,3.08,2.05,1.28,0.26,1.28,3.85,33.3,2.56,26.2,7.18,27.5,9.49,11.3,5.38,1.03,0.0,0.0,1.03,3.59,7.18,1.54,0.0,50.0,2.31,13.1,23.6,15.6,1.54,48.5,0.77,1.28,60.0,0.77,0.26,31.0,160.3,76.9,2.05,0.26,0.0,2.05,0.77,34.4,27.4,79.9,2.82,0.26,0.0,0.0,4.1,0.51,0.0,0.51,3.08,0.0,0.0,0.0,10.3,0.51,2.05,20.0,2022-05-30,800000.0,,,,,
19,Yacine Adli,FRA,MFFW,Bordeaux,Ligue 1,21.0,2000,36,25,2260,25.1,0.04,1.31,0.6,45.5,0.03,0.07,19.9,0.16,0.0,0.0,36.3,49.3,73.6,770.7,253.5,14.3,17.0,84.5,14.0,17.2,81.5,7.49,13.2,56.8,0.28,2.27,4.46,1.55,0.16,5.9,49.3,44.2,5.06,1.71,0.12,7.85,3.63,1.55,2.67,1.47,0.72,0.04,32.4,5.62,11.2,5.02,42.0,0.92,0.4,0.16,36.3,0.28,1.24,2.39,1.55,4.1,2.67,0.8,0.16,0.12,0.24,0.12,0.52,0.4,0.08,0.0,0.0,0.04,0.0,1.91,1.35,1.04,0.68,0.2,0.6,2.67,22.4,2.07,24.9,7.25,29.1,6.61,12.7,5.58,1.63,0.12,0.0,1.51,2.15,4.06,0.6,0.04,62.0,1.12,11.6,34.3,20.7,2.27,57.2,1.75,3.15,55.7,1.91,0.12,43.2,240.4,124.0,6.14,1.91,0.6,1.83,2.59,50.8,43.6,85.9,3.67,0.2,0.0,0.0,1.08,1.31,0.16,1.55,1.35,0.0,0.0,0.0,6.41,0.96,0.8,54.5,2022-05-30,9000000.0,,,,,
25,Kevin Agudelo,COL,MFFW,Spezia,Serie A,23.0,1998,23,12,1237,13.7,0.22,1.61,0.8,50.0,0.14,0.27,16.6,0.0,0.0,0.0,20.7,28.1,73.8,308.2,89.1,11.2,13.6,82.4,8.1,10.1,80.4,0.66,1.82,36.0,0.07,0.73,1.97,0.95,0.22,2.7,28.1,27.2,0.88,0.07,0.0,8.83,0.51,0.95,0.29,0.22,0.07,0.0,21.1,3.8,3.21,23.4,2.12,1.24,0.29,0.07,20.7,0.15,0.73,1.46,1.31,2.77,1.39,0.0,0.51,0.15,0.22,0.51,0.22,0.07,0.0,0.0,0.0,0.0,0.15,2.99,1.97,1.02,1.46,0.51,0.58,1.39,42.1,0.8,29.2,6.42,22.0,5.84,15.5,7.88,1.97,0.0,0.0,1.97,1.31,4.31,0.29,0.0,44.1,0.8,6.5,21.9,20.8,3.14,43.2,2.04,3.72,54.9,2.12,0.07,33.1,194.1,114.3,5.55,2.48,1.09,1.53,3.87,36.3,28.1,77.5,4.23,0.15,0.07,0.0,2.85,1.9,0.0,0.95,1.97,0.0,0.0,0.0,7.23,1.17,1.46,44.4,2021-12-28,3300000.0,,,,,
43,Maghnes Akliouche,FRA,MFFW,Monaco,Ligue 1,20.0,2002,7,0,54,0.6,0.0,3.33,1.67,50.0,0.0,0.0,13.5,0.0,0.0,0.0,33.3,36.7,90.9,453.3,135.0,21.7,21.7,100.0,8.33,10.0,83.3,1.67,3.33,50.0,0.0,1.67,1.67,5.0,0.0,6.67,36.7,36.7,0.0,0.0,1.67,8.33,0.0,0.0,0.0,0.0,0.0,0.0,33.3,3.33,0.0,26.7,10.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1.67,1.67,1.67,0.0,0.0,1.67,0.0,1.67,35.0,11.7,33.3,6.67,16.7,11.7,3.33,0.0,0.0,3.33,0.0,3.33,0.0,0.0,61.7,0.0,6.67,23.3,36.7,8.33,61.7,1.67,6.67,25.0,1.67,0.0,48.3,245.0,120.0,8.33,5.0,0.0,5.0,0.0,61.7,46.7,75.7,10.0,1.67,0.0,0.0,5.0,1.67,1.67,0.0,1.67,0.0,0.0,0.0,6.67,1.67,3.33,33.3,2022-05-30,1000000.0,,,,,
70,Dele Alli,ENG,MFFW,Tottenham,Premier League,26.0,1996,10,8,657,7.3,0.14,0.55,0.27,50.0,0.0,0.0,18.2,0.0,0.14,0.14,22.9,29.3,78.0,368.1,89.2,12.9,14.8,87.0,7.67,9.45,81.2,1.92,3.7,51.9,0.0,0.27,1.78,0.68,0.0,2.6,29.3,27.7,1.64,0.82,0.0,5.75,0.27,0.41,0.0,0.0,0.0,0.0,20.4,4.52,4.38,1.37,24.7,1.64,0.41,0.41,22.9,0.14,0.27,1.51,0.96,1.1,0.68,0.0,0.0,0.0,0.41,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,2.6,0.96,1.51,0.82,0.27,0.68,2.33,29.4,1.64,28.6,7.53,26.3,11.1,12.6,4.93,3.42,0.68,0.0,2.74,2.33,4.93,1.64,0.0,45.3,3.15,11.9,23.6,13.3,2.74,44.0,0.68,2.47,27.8,0.96,0.27,29.2,124.4,61.1,2.33,0.82,0.0,1.64,2.47,35.9,27.3,76.0,4.25,0.14,0.0,0.0,1.78,2.05,0.27,0.41,0.96,0.14,0.0,0.0,6.3,1.51,1.78,45.8,2022-03-29,22000000.0,,,,,
86,Nadiem Amiri,GER,MFFW,Genoa,Serie A,25.0,1996,13,9,683,7.6,0.0,2.11,0.79,37.5,0.0,0.0,22.3,0.13,0.0,0.0,29.9,40.4,73.9,479.6,137.5,15.8,18.4,85.7,10.9,13.8,79.0,2.63,6.45,40.8,0.13,2.76,2.24,0.92,0.13,3.42,40.4,35.1,5.26,1.84,0.26,5.53,0.92,1.05,1.71,0.39,0.92,0.0,29.1,3.29,8.03,3.29,35.3,1.05,0.26,0.26,29.9,0.26,0.92,1.71,0.53,3.82,2.89,0.53,0.26,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.45,0.92,0.39,0.66,0.39,0.39,1.32,30.0,0.92,20.4,5.66,27.7,3.42,10.8,6.18,0.92,0.0,0.0,0.92,0.66,2.11,0.0,0.0,54.2,0.13,5.13,30.1,23.0,3.03,49.3,1.84,3.29,56.0,1.84,0.0,38.6,190.7,106.7,6.71,2.11,0.66,3.42,1.84,45.1,38.0,84.3,6.32,0.0,0.0,0.0,0.92,3.03,0.13,1.05,0.92,0.0,0.0,0.0,6.97,0.66,1.84,26.3,2022-03-15,9000000.0,,,,,
87,Nadiem Amiri,GER,MFFW,Leverkusen,Bundesliga,25.0,1996,13,3,369,4.1,0.24,1.95,0.49,25.0,0.13,0.5,20.1,0.24,0.0,0.0,44.9,54.4,82.5,816.8,142.2,19.8,22.7,87.1,18.8,21.2,88.5,5.12,7.8,65.6,0.0,0.73,2.2,2.2,0.0,4.39,54.4,52.2,2.2,0.24,0.0,11.0,3.41,0.73,1.22,0.24,0.98,0.0,43.4,4.63,6.34,4.63,48.8,0.49,0.49,0.0,44.9,0.24,0.73,1.22,0.49,1.71,1.22,0.24,0.0,0.0,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.24,0.0,1.95,0.98,0.98,0.49,0.49,0.98,1.71,57.1,0.73,13.9,5.61,40.4,3.41,7.32,3.17,1.22,0.24,0.0,0.98,1.22,3.17,0.49,0.0,68.3,0.24,13.9,38.3,21.7,2.2,65.9,1.71,3.41,50.0,1.71,0.24,50.5,324.9,163.7,7.56,3.17,0.24,1.46,1.95,59.8,51.5,86.1,5.85,0.0,0.0,0.0,0.24,3.17,0.0,0.73,0.98,0.0,0.0,0.0,9.02,0.24,0.98,20.0,2022-03-15,9000000.0,,,,,
107,Houssem Aouar,FRA,MFFW,Lyon,Ligue 1,23.0,1998,36,29,2504,27.8,0.22,2.77,0.9,32.5,0.08,0.24,17.6,0.0,0.0,0.0,45.8,52.5,87.3,729.0,176.9,25.3,27.5,92.0,15.5,17.4,88.7,3.78,5.14,73.4,0.14,1.26,4.35,1.22,0.07,4.57,52.5,50.2,2.34,1.01,0.22,8.88,0.76,0.5,0.4,0.14,0.07,0.07,44.4,4.6,3.49,5.0,45.8,0.54,0.43,0.4,45.8,0.07,0.32,1.8,1.12,3.67,2.66,0.11,0.32,0.32,0.14,0.11,0.22,0.18,0.0,0.0,0.04,0.0,0.0,1.91,1.19,0.58,0.9,0.43,0.68,1.83,37.3,1.15,18.7,4.57,24.4,3.99,8.53,6.22,0.79,0.04,0.0,0.76,1.37,3.27,0.25,0.0,66.8,0.5,8.02,39.0,25.5,4.46,64.8,2.7,4.89,55.1,2.95,0.18,52.4,240.7,141.5,7.3,2.77,0.83,2.27,2.19,62.1,51.8,83.4,6.19,0.04,0.0,0.0,1.08,1.73,0.11,0.5,1.19,0.0,0.0,0.0,7.41,0.4,0.9,30.6,2022-05-30,25000000.0,,,,,
108,Adil Aouchiche,FRA,MFFW,Saint-Étienne,Ligue 1,19.0,2002,35,11,1081,12.0,0.0,1.83,0.83,45.5,0.0,0.0,21.5,0.0,0.0,0.0,40.0,52.6,76.1,749.0,190.4,19.8,23.1,85.6,11.6,14.3,80.8,6.58,11.3,58.5,0.33,1.58,3.5,0.75,0.33,3.33,52.6,47.4,5.17,1.58,0.08,9.08,3.92,2.0,3.0,1.0,1.25,0.08,36.5,4.75,11.3,7.5,41.8,1.58,0.25,0.42,40.0,0.25,1.17,2.67,1.33,2.92,1.67,0.58,0.17,0.0,0.5,0.0,0.5,0.33,0.08,0.0,0.0,0.08,0.0,1.75,1.08,0.5,0.83,0.42,0.5,2.42,20.7,1.92,28.1,7.33,26.1,5.25,16.9,5.92,1.75,0.08,0.0,1.67,1.75,3.5,0.67,0.0,67.3,0.58,9.67,39.1,24.8,2.17,62.3,1.92,3.33,57.5,2.0,0.17,47.6,270.1,163.4,8.17,2.75,0.5,2.42,2.0,55.9,46.6,83.3,4.92,0.17,0.0,0.0,1.08,1.33,0.17,2.0,1.08,0.0,0.0,0.0,8.0,1.17,2.0,36.8,2022-05-30,6000000.0,,,,,
111,Mattia Aramu,ITA,MFFW,Venezia,Serie A,27.0,1995,32,25,2100,23.3,0.3,2.45,0.69,28.1,0.07,0.25,23.9,0.73,0.13,0.17,22.7,34.5,65.8,410.1,144.6,10.6,12.9,81.7,8.45,11.3,74.9,3.18,8.28,38.3,0.21,1.59,1.55,1.42,0.64,2.75,34.5,27.1,7.38,1.63,0.09,5.97,1.8,2.58,2.92,1.42,1.24,0.04,20.5,4.51,9.48,28.4,3.65,0.64,0.94,0.47,22.7,0.26,0.82,1.72,1.55,3.05,1.33,0.82,0.17,0.09,0.6,0.04,0.43,0.3,0.04,0.0,0.0,0.09,0.0,0.9,0.47,0.13,0.52,0.26,0.26,1.2,21.4,0.94,19.9,4.89,24.6,4.25,9.01,6.61,1.24,0.13,0.0,1.12,0.6,1.5,0.9,0.0,46.4,1.2,5.28,21.0,22.7,1.8,39.1,0.64,1.46,44.1,0.73,0.13,29.0,139.1,69.4,3.86,1.03,0.3,1.29,1.2,38.9,29.1,74.8,3.61,0.26,0.0,0.0,1.33,3.78,0.3,2.58,0.47,0.04,0.04,0.0,5.19,0.69,1.72,28.6,2022-03-15,4000000.0,,,,,
