Age,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Date,Position,Valuation
22.0,25,13,1256,14.0,0.21,2.71,1.36,50.0,0.08,0.16,15.3,0.0,0.0,0.0,28.0,37.1,75.4,417.5,122.4,15.5,18.4,84.1,10.6,14.1,75.1,1.0,2.21,45.2,0.14,0.93,2.14,1.14,0.57,2.86,37.1,35.8,1.36,0.14,0.07,0.36,1.86,0.14,0.0,0.0,0.0,0.71,28.0,0.36,1.43,3.36,2.21,0.07,0.21,0.29,0.29,0.29,0.5,0.36,0.0,0.0,0.07,0.07,0.0,2.71,1.79,1.0,1.29,0.43,1.21,2.07,58.6,0.86,2.5,0.29,2.21,1.21,3.93,0.57,0.0,54.6,0.71,8.93,28.6,20.8,4.79,53.3,40.1,224.8,136.9,5.93,1.71,1.36,3.07,2.36,39.0,6.57,0.21,0.0,0.0,1.93,2.29,0.57,1.86,1.79,0.0,0.0,0.0,6.57,1.36,2.5,35.2,2021-12-22,Winger,12000000.0
18.0,2,2,124,1.4,0.0,2.86,1.43,50.0,0.0,0.0,21.4,0.0,0.0,0.0,32.1,37.9,84.9,446.4,137.9,25.0,25.7,97.2,5.71,7.14,80.0,1.43,3.57,40.0,0.0,2.14,2.14,3.57,0.71,4.29,37.9,37.9,0.0,0.0,0.0,0.71,3.57,0.0,0.0,0.0,0.0,0.0,32.1,0.0,1.43,5.0,2.86,0.0,0.71,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.0,1.43,0.0,0.0,50.7,0.0,5.0,14.3,35.7,5.71,50.7,45.0,195.7,120.7,8.57,1.43,2.14,0.0,2.14,40.0,2.86,0.0,0.0,0.0,2.86,3.57,0.0,3.57,0.0,0.0,0.0,0.0,7.14,0.0,1.43,0.0,2021-12-30,Winger,3000000.0
27.0,30,13,1488,16.5,0.06,2.55,0.91,35.7,0.02,0.07,18.7,0.06,0.0,0.0,25.1,33.3,75.3,397.6,79.7,13.6,16.4,83.0,8.48,11.1,76.5,2.12,3.58,59.3,0.12,0.79,2.36,0.73,0.18,2.36,33.3,32.3,1.03,0.24,0.06,1.03,1.88,0.55,0.3,0.06,0.0,0.24,25.1,0.24,1.39,2.73,1.64,0.18,0.48,0.18,0.12,0.12,0.18,0.12,0.0,0.0,0.06,0.0,0.0,1.45,0.91,0.42,0.67,0.36,0.42,1.03,41.2,0.61,0.79,0.12,0.67,0.61,2.06,0.18,0.0,48.4,0.67,8.0,24.4,21.8,4.97,47.5,39.2,281.3,164.6,7.76,2.85,1.15,2.3,3.03,37.7,6.0,0.06,0.0,0.0,1.09,2.36,0.12,1.88,0.91,0.0,0.06,0.0,5.27,1.03,1.45,41.5,2022-05-30,Winger,2000000.0
29.0,38,33,2888,32.1,0.19,1.37,0.5,36.4,0.14,0.38,15.8,0.0,0.0,0.0,34.5,44.4,77.8,532.9,142.1,19.9,23.2,86.0,11.3,14.4,78.5,2.43,4.11,59.1,0.25,1.62,1.62,1.99,0.37,3.83,44.4,41.9,2.46,0.25,0.06,0.9,2.21,0.4,0.25,0.06,0.03,0.81,34.5,0.09,1.65,3.18,2.49,0.09,0.22,0.09,0.28,0.0,0.53,0.34,0.0,0.12,0.06,0.0,0.0,2.55,1.56,1.06,1.03,0.47,0.87,2.87,30.4,1.99,2.02,0.16,1.87,1.15,3.71,0.5,0.03,57.7,1.12,7.13,27.3,27.8,4.33,55.3,42.0,224.1,150.2,7.82,2.46,1.5,1.74,2.06,42.1,5.23,0.06,0.0,0.0,1.37,1.25,0.22,2.21,1.56,0.0,0.0,0.0,5.95,0.56,0.9,38.3,2022-03-15,Winger,13000000.0
28.0,25,12,1130,12.6,0.08,2.3,0.79,34.5,0.03,0.1,14.9,0.0,0.0,0.0,13.0,20.8,62.6,207.6,64.8,7.14,9.6,74.4,4.76,7.14,66.7,0.87,2.38,36.7,0.08,0.63,0.79,0.87,0.32,1.35,20.8,18.6,2.22,0.0,0.08,0.32,2.22,0.08,0.0,0.0,0.0,2.14,13.0,0.08,1.59,1.83,0.95,0.16,0.0,0.24,0.4,0.08,0.16,0.08,0.0,0.0,0.0,0.08,0.0,2.14,1.51,0.71,0.95,0.48,0.63,1.67,38.1,1.03,1.43,0.08,1.35,0.56,2.7,0.63,0.0,38.1,0.32,4.6,15.0,21.9,4.68,36.0,24.2,149.5,78.9,3.25,1.03,0.79,3.81,2.46,23.9,6.11,0.16,0.0,0.0,1.27,2.3,0.87,2.22,1.51,0.08,0.0,0.0,5.56,1.19,4.44,21.1,2021-12-22,Winger,1000000.0
27.0,27,20,1608,17.9,0.17,1.79,0.61,34.4,0.09,0.27,17.0,0.0,0.0,0.0,14.7,21.1,69.6,217.9,69.2,7.32,9.61,76.2,5.7,7.54,75.6,0.78,1.68,46.7,0.22,1.01,1.17,0.73,0.34,1.9,21.1,20.7,0.39,0.06,0.11,0.5,1.4,0.0,0.0,0.0,0.0,0.22,14.7,0.06,1.45,2.4,1.73,0.0,0.17,0.17,0.22,0.11,0.28,0.22,0.0,0.0,0.0,0.06,0.0,0.89,0.61,0.28,0.45,0.17,0.39,1.34,29.2,0.95,1.23,0.22,1.01,0.95,1.84,0.56,0.0,34.1,0.5,5.14,14.5,17.5,3.35,33.7,24.8,163.5,96.9,3.91,1.45,1.12,3.07,2.07,23.4,5.98,0.06,0.0,0.0,0.89,1.68,1.01,1.4,0.61,0.0,0.0,0.0,5.81,1.12,2.96,27.4,2021-12-22,Winger,2500000.0
26.0,31,19,1731,19.2,0.52,3.33,1.61,48.4,0.16,0.32,18.6,0.05,0.0,0.0,38.5,47.1,81.9,658.4,124.6,20.4,22.8,89.3,12.7,14.3,88.4,4.43,7.6,58.2,0.0,1.56,2.6,1.04,0.16,2.81,47.1,42.9,4.22,0.83,0.05,2.03,2.24,2.34,1.25,0.21,0.16,0.73,38.5,0.26,1.51,3.39,2.14,0.52,0.16,0.42,0.1,0.05,0.36,0.16,0.0,0.05,0.1,0.0,0.05,0.83,0.52,0.42,0.31,0.1,0.36,1.04,35.0,0.68,0.78,0.05,0.73,1.3,2.14,0.26,0.05,56.8,0.73,5.52,24.6,31.5,5.05,52.7,42.3,245.7,130.3,6.35,2.55,0.94,0.68,1.3,43.6,7.29,0.1,0.0,0.0,0.63,1.35,0.1,2.24,0.52,0.0,0.0,0.0,5.31,0.05,0.47,10.0,2021-12-30,Winger,40000000.0
19.0,1,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,60.0,83.3,810.0,150.0,20.0,20.0,100.0,30.0,40.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,20.0,60.0,20.0,0.0,100.0,90.0,340.0,90.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,100.0,2021-08-11,Winger,100000.0
24.0,18,7,761,8.5,0.12,2.47,0.94,38.1,0.05,0.13,18.7,0.47,0.0,0.0,17.5,26.4,66.5,308.4,68.2,8.35,9.76,85.5,6.12,8.71,70.3,2.35,5.29,44.4,0.24,0.94,0.47,1.29,0.35,2.35,26.4,24.2,2.12,0.12,0.0,1.29,2.47,1.41,1.29,0.12,0.0,0.47,17.5,0.0,1.76,2.47,1.76,0.12,0.24,0.12,0.24,0.0,0.35,0.24,0.0,0.12,0.0,0.0,0.0,2.24,1.41,0.82,1.06,0.35,0.47,1.53,30.8,1.06,1.53,0.24,1.29,0.35,2.59,0.35,0.0,41.8,0.94,4.94,14.8,25.4,4.12,39.3,31.5,188.9,103.4,6.82,1.29,1.18,3.06,3.65,28.9,6.59,0.35,0.0,0.0,1.53,1.41,0.35,2.47,1.41,0.0,0.0,0.0,5.06,1.06,1.88,36.0,2022-03-29,Winger,30000000.0
19.0,5,0,43,0.5,0.0,4.0,2.0,50.0,0.0,0.0,17.3,0.0,0.0,0.0,18.0,28.0,64.3,300.0,120.0,8.0,12.0,66.7,8.0,10.0,80.0,2.0,4.0,50.0,0.0,0.0,2.0,2.0,0.0,4.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,4.0,6.0,20.0,24.0,4.0,46.0,30.0,202.0,138.0,6.0,2.0,2.0,6.0,2.0,28.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,2.0,75.0,2022-05-30,Winger,400000.0
